"readerid","firstname","lastname","familymembercount","totalfamilybooksborrowedbyfamily"
32072,"Evan","Wright","3","7"
25044,"Douglas","Torres","3","7"
24497,"Keith","Small","3","7"
8542,"David","Donovan","3","7"
14331,"Julie","Chapman","3","7"
14007,"Patricia","Bennett","3","7"
10605,"Margaret","Johnson","3","7"
4064,"Christopher","Greene","3","7"
14666,"Scott","Hicks","3","7"
30410,"Melissa","Garza","3","7"
23030,"Patricia","Martinez","3","7"
30424,"Clarence","Oneal","3","7"
9766,"James","Brown","3","7"
235,"Michael","Reese","3","7"
30478,"Cassandra","Smith","3","7"
19788,"John","Kim","3","7"
8271,"Keith","Reid","3","7"
5019,"Aaron","Flores","3","7"
12177,"Michael","Larson","3","7"
30694,"Daniel","Roach","3","7"
13624,"Megan","Ford","3","7"
2208,"Richard","Johnson","3","7"
30787,"Justin","Alexander","3","7"
9864,"Teresa","Lawrence","3","7"
353,"Meredith","Ryan","3","7"
24551,"Melissa","Ross","3","7"
8899,"Amanda","Sanders","3","7"
2102,"Christian","Phillips","3","7"
18362,"Ronnie","Jackson","3","7"
13806,"Eric","Gallagher","3","6"
32282,"Allison","Travis","3","6"
9412,"Sean","Moore","3","6"
1390,"George","West","3","6"
17337,"Thomas","Boyd","3","6"
25969,"Michelle","Leonard","3","6"
17399,"Justin","Oliver","3","6"
16192,"Joyce","Avila","3","6"
20475,"Alec","Braun","3","6"
22685,"Rodney","Porter","3","6"
30632,"Kayla","Hoffman","3","6"
6920,"James","Schaefer","3","6"
22384,"Ashley","Hall","3","6"
14745,"Eugene","Young","3","6"
24341,"Amber","Andrews","3","5"
24714,"Whitney","Vincent","3","5"
7769,"Sherry","Robertson","3","5"
14105,"Jim","Brown","3","5"
22192,"Allison","King","3","5"
27188,"Lindsey","Williams","3","5"
16382,"Amy","Williams","3","5"
3975,"Timothy","Wallace","2","16"
25940,"James","Brown","2","15"
7708,"Mathew","Guzman","2","14"
17124,"Christina","Wiley","2","14"
20468,"Rita","Proctor","2","14"
30609,"Christy","Macias","2","13"
5552,"Joel","Ballard","2","13"
26205,"Melissa","Sanchez","2","13"
15292,"Anne","Conner","2","13"
7114,"Deanna","Williams","2","13"
8616,"Lisa","Jackson","2","13"
16458,"Meagan","French","2","13"
19247,"Mitchell","Cameron","2","13"
17712,"Tyler","Villanueva","2","13"
24907,"Jose","Barnett","2","13"
15462,"Christopher","Haney","2","13"
8294,"Amanda","Bowen","2","13"
684,"Laurie","Martinez","2","13"
5051,"Jessica","Davis","2","13"
12172,"Marvin","Clark","2","13"
25435,"Tommy","Cruz","2","13"
24590,"Stephanie","White","2","13"
27974,"Joseph","Le","2","12"
23590,"Rodney","Owen","2","12"
19040,"Kayla","Hubbard","2","12"
8746,"Gary","Harrington","2","12"
23888,"Samuel","Fox","2","12"
8032,"Brian","Barton","2","12"
6340,"Evan","Allen","2","12"
23400,"Melissa","Rosario","2","12"
30958,"Shane","Fields","2","12"
28328,"Karen","Flores","2","12"
32679,"Alexis","Pena","2","12"
33126,"Mike","Johnson","2","12"
8143,"Lori","Simmons","2","12"
7678,"Carolyn","Jones","2","12"
25157,"Evan","Clark","2","12"
19223,"Misty","Porter","2","12"
11523,"Stacy","Hicks","2","12"
32498,"Terrence","Andrews","2","12"
31446,"Sonya","Ramos","2","12"
22243,"Robert","York","2","12"
12909,"Patricia","Brennan","2","12"
1563,"Deanna","Crosby","2","12"
9014,"Carla","Moore","2","12"
26852,"Robert","Perez","2","12"
21514,"Justin","Christian","2","12"
15982,"Melanie","Martinez","2","12"
18559,"Joshua","Harris","2","12"
8774,"Veronica","Fernandez","2","12"
23182,"Daniel","Blair","2","12"
17211,"Joseph","Donovan","2","12"
10443,"Linda","Flores","2","12"
5805,"Stephanie","Curry","2","12"
16296,"Ashley","Harris","2","12"
983,"Megan","Meyer","2","12"
21088,"Susan","Williamson","2","12"
9050,"Laura","Ashley","2","12"
23179,"April","Barnes","2","12"
21317,"Nathan","Martin","2","12"
19450,"Michael","Mccormick","2","12"
27780,"David","Patel","2","11"
16148,"Cheryl","Castillo","2","11"
30115,"Cynthia","Lawson","2","11"
9164,"Susan","Ross","2","11"
14020,"Allen","Reed","2","11"
24174,"James","Rubio","2","11"
26589,"Stephanie","Turner","2","11"
11951,"Paul","Hughes","2","11"
7746,"Kenneth","Gregory","2","11"
31208,"Joseph","Martin","2","11"
930,"Victoria","Wood","2","11"
25964,"Kyle","Silva","2","11"
5209,"Anthony","Sanchez","2","11"
23425,"Suzanne","Williams","2","11"
24243,"Donald","Morgan","2","11"
9832,"Elizabeth","Lee","2","11"
23032,"Michael","Johnson","2","11"
1286,"Margaret","Franco","2","11"
32845,"Chloe","Dodson","2","11"
8569,"Douglas","Henry","2","11"
10588,"Joshua","Ramirez","2","11"
5236,"David","Tate","2","11"
4188,"Ariana","Jones","2","11"
27588,"Juan","Myers","2","11"
23944,"Kathy","Peters","2","11"
11557,"Thomas","Thompson","2","11"
1701,"Lori","Ramos","2","11"
13132,"Robin","Mcintyre","2","11"
12891,"Kevin","Foster","2","11"
14618,"Jacob","Cortez","2","11"
6047,"Gary","Cook","2","11"
32739,"Ethan","Barnes","2","11"
7646,"Roberto","Moore","2","11"
27008,"Dawn","Chaney","2","11"
17577,"Lawrence","Kelly","2","11"
13627,"Raymond","Valdez","2","11"
27215,"Jorge","Walker","2","11"
1152,"Christine","Tapia","2","11"
26040,"Brian","Stokes","2","11"
17343,"Shawn","Stafford","2","11"
29358,"Rose","Mejia","2","11"
27127,"Eric","Craig","2","11"
13729,"Ashley","Young","2","11"
10994,"Kimberly","Jordan","2","11"
7239,"Ruth","Thomas","2","11"
27919,"Hannah","Henry","2","11"
14883,"Bryan","Jackson","2","11"
12726,"Brandon","Carter","2","11"
668,"Vanessa","Mcdonald","2","11"
26758,"Sean","Anderson","2","11"
2911,"Rebecca","Evans","2","11"
24198,"Tony","Morris","2","11"
6272,"Steven","Garza","2","11"
20508,"Christopher","Evans","2","11"
31691,"Matthew","Copeland","2","11"
15749,"Barbara","Gonzales","2","11"
32899,"Katherine","Woods","2","11"
20931,"Garrett","Johnston","2","10"
29291,"Steven","Graves","2","10"
24928,"Joshua","Jenkins","2","10"
32976,"Anthony","Cantu","2","10"
5616,"Tina","Mclean","2","10"
10562,"Hannah","Chavez","2","10"
15421,"Sylvia","Williams","2","10"
29700,"Gregory","Suarez","2","10"
1719,"Grant","Gates","2","10"
28636,"Lisa","Smith","2","10"
27492,"Linda","Jackson","2","10"
15425,"Amber","Mills","2","10"
30634,"Brandon","Palmer","2","10"
8276,"Charles","Price","2","10"
12923,"Yolanda","Wright","2","10"
4963,"Erika","Benitez","2","10"
24856,"Jean","Bond","2","10"
28635,"Brent","Ortega","2","10"
5354,"Michelle","Lamb","2","10"
2864,"Brenda","Lopez","2","10"
17014,"Steve","Ballard","2","10"
17140,"Jennifer","Wells","2","10"
23760,"Alyssa","Brown","2","10"
31147,"James","Pennington","2","10"
31947,"Sarah","Davis","2","10"
93,"Douglas","Morris","2","10"
6587,"Robert","Wright","2","10"
2923,"Paul","Smith","2","10"
16639,"Denise","Taylor","2","10"
31530,"Marcus","Scott","2","10"
16903,"Christopher","Dickson","2","10"
30774,"Elizabeth","Walker","2","10"
21024,"Ashley","Adams","2","10"
20505,"Sheila","Jones","2","10"
15693,"Anthony","Dean","2","10"
11268,"Tyler","Sharp","2","10"
2869,"Mark","Davis","2","10"
2781,"Thomas","Warner","2","10"
5642,"Jorge","Brown","2","10"
12546,"Hector","Mathis","2","10"
25126,"Shawn","Sullivan","2","10"
5647,"Casey","Holt","2","10"
22278,"John","Figueroa","2","10"
2508,"Danielle","Villegas","2","10"
19098,"James","Jones","2","10"
4396,"Anna","Miller","2","10"
1142,"Crystal","Jimenez","2","10"
19970,"Daniel","Johnson","2","10"
19973,"Bryce","Douglas","2","10"
18169,"Benjamin","Buckley","2","10"
21968,"Brandy","Gray","2","10"
10688,"Ethan","Medina","2","10"
23605,"Sheila","Wilson","2","10"
33144,"James","Chapman","2","10"
29051,"Tiffany","Carpenter","2","10"
5454,"David","Luna","2","10"
32145,"Kristin","Miranda","2","10"
5458,"Peter","Nelson","2","10"
8343,"Oscar","Kemp","2","10"
24746,"Monica","Mitchell","2","10"
19978,"Sarah","Moss","2","10"
11591,"Jessica","Roberts","2","10"
25861,"Rachel","Grant","2","10"
7361,"Rhonda","Wilson","2","10"
15007,"Stacy","Ortiz","2","10"
28186,"Christopher","Mcdaniel","2","10"
11479,"Wendy","Brown","2","10"
31808,"Brian","Campbell","2","10"
23781,"Joanne","Jackson","2","10"
29810,"Jeffrey","Myers","2","10"
19582,"Michael","Carter","2","10"
31948,"Nicholas","King","2","10"
13420,"Christopher","Hodges","2","10"
17297,"Cassandra","Chang","2","10"
3269,"Julia","Gonzalez","2","10"
10303,"Benjamin","Adams","2","10"
27414,"Phillip","Jordan","2","10"
2897,"William","Medina","2","10"
23325,"Amber","Santiago","2","10"
24942,"James","Patterson","2","10"
9725,"Yvette","Henry","2","10"
23139,"Kimberly","Lee","2","10"
31590,"Kathleen","Romero","2","10"
9935,"Justin","Baxter","2","10"
24186,"Anthony","Alvarez","2","10"
25421,"Diane","Parker","2","10"
32286,"Nancy","Foster","2","10"
13832,"Angela","Huff","2","10"
7129,"Deborah","Smith","2","10"
13953,"Derrick","Conrad","2","10"
29835,"David","Campbell","2","10"
2604,"Amber","Webb","2","10"
5040,"Barbara","Kent","2","10"
8820,"Tammy","Lee","2","10"
24255,"Crystal","Hall","2","10"
7174,"Andrew","Jackson","2","10"
21486,"Jody","Cook","2","10"
27925,"Tiffany","Casey","2","10"
20296,"Cheryl","Cruz","2","10"
13163,"Amanda","Padilla","2","10"
16409,"Kenneth","Mccoy","2","10"
15190,"Stefanie","Gutierrez","2","10"
17304,"Benjamin","Schultz","2","10"
10784,"Kathy","Wood","2","10"
6983,"Susan","Williams","2","10"
14116,"Stacey","Sanders","2","10"
32863,"Leslie","Bridges","2","10"
23213,"Randall","Rosales","2","10"
26361,"Caleb","Flores","2","10"
16482,"Emily","Mitchell","2","10"
25634,"Erika","Fernandez","2","10"
33080,"Stephanie","Chapman","2","9"
2548,"Valerie","Smith","2","9"
18564,"Katrina","Ford","2","9"
28632,"Grace","Gordon","2","9"
11146,"Melissa","Weaver","2","9"
17610,"Kirsten","Rojas","2","9"
28592,"Shawna","Peters","2","9"
28574,"Mark","Martinez","2","9"
7093,"Donald","Watkins","2","9"
28521,"Eric","Mccarthy","2","9"
18491,"Aaron","Kelly","2","9"
22279,"Lawrence","Kelly","2","9"
17686,"Derek","Kelly","2","9"
18423,"Patrick","Morris","2","9"
27804,"Joan","Mejia","2","9"
17808,"Teresa","Garrison","2","9"
447,"Thomas","Leonard","2","9"
2456,"Barbara","Long","2","9"
9352,"Cody","Dyer","2","9"
18369,"Daniel","Carey","2","9"
6778,"Carolyn","Miller","2","9"
21895,"Travis","Bailey","2","9"
32256,"Patrick","Garza","2","9"
10235,"Jonathan","Henderson","2","9"
17915,"Carrie","Spears","2","9"
5145,"Bobby","Smith","2","9"
6818,"Carol","Black","2","9"
2403,"Kayla","Brown","2","9"
9328,"James","Reed","2","9"
18233,"Keith","Collins","2","9"
28030,"Robert","Wyatt","2","9"
2308,"Melissa","Henderson","2","9"
6918,"Amy","Byrd","2","9"
18047,"Victoria","Mathis","2","9"
433,"Amber","Nunez","2","9"
18147,"Frank","Barton","2","9"
5286,"Mark","Cole","2","9"
18094,"Tanya","Mendoza","2","9"
28106,"Dawn","Morris","2","9"
23948,"Joann","Hernandez","2","9"
23869,"Lisa","Becker","2","9"
5104,"Susan","Gutierrez","2","9"
24985,"Nathaniel","Wagner","2","9"
22652,"Donna","Miller","2","9"
21277,"Amy","Montgomery","2","9"
3691,"Brent","Rodriguez","2","9"
13541,"Sara","Harris","2","9"
10637,"Allison","Davis","2","9"
23636,"Shawn","Johnson","2","9"
4715,"Sally","Austin","2","9"
21755,"Ryan","Becker","2","9"
3634,"John","Burns","2","9"
22869,"Nancy","Phillips","2","9"
22889,"Monica","Green","2","9"
25335,"Kelsey","Pearson","2","9"
23020,"Kelly","Greene","2","9"
23137,"Wyatt","Davis","2","9"
25422,"Martin","Johnson","2","9"
20838,"Kristi","Romero","2","9"
3918,"Ivan","Morse","2","9"
25442,"Susan","Brown","2","9"
25450,"Carrie","Boyd","2","9"
13567,"Amber","Perez","2","9"
12184,"Miguel","Burns","2","9"
25518,"Paul","Mercado","2","9"
24443,"Tyler","Hall","2","9"
25525,"Rebecca","Davis","2","9"
20717,"Timothy","Thompson","2","9"
13807,"Alicia","Williams","2","9"
24680,"Pamela","Miller","2","9"
20712,"Ashley","Giles","2","9"
25544,"Jessica","Sanders","2","9"
31741,"Paula","Phillips","2","9"
13830,"Terri","Mcneil","2","9"
5204,"Stephanie","Edwards","2","9"
31666,"Daniel","Carpenter","2","9"
20618,"Robert","Bullock","2","9"
31648,"Daniel","Velazquez","2","9"
25654,"Brent","Hatfield","2","9"
11690,"Cheryl","Brady","2","9"
20516,"Kristine","Johnson","2","9"
14061,"Walter","Rich","2","9"
32774,"Barbara","Frederick","2","9"
3405,"Ronald","Ramirez","2","9"
10898,"Grace","Farmer","2","9"
9731,"Dana","Santana","2","9"
25795,"Christopher","Williams","2","9"
25824,"Mary","Becker","2","9"
871,"Angela","Fischer","2","9"
3359,"Rachel","Jordan","2","9"
25916,"Paul","Page","2","9"
364,"Manuel","Mcdaniel","2","9"
20347,"Tasha","Norman","2","9"
3296,"Edward","Santiago","2","9"
26003,"Amber","Durham","2","9"
966,"Linda","Larsen","2","9"
26079,"Justin","Campos","2","9"
3256,"Adam","George","2","9"
20120,"Christine","Taylor","2","9"
14684,"Nicole","Landry","2","9"
3215,"Pamela","Rodriguez","2","9"
3214,"David","Harper","2","9"
26183,"James","Wagner","2","9"
10132,"Christopher","Long","2","9"
10979,"Taylor","Smith","2","9"
20092,"Damon","Mason","2","9"
8471,"Ashley","Davis","2","9"
14820,"Kristin","Boyer","2","9"
30904,"Chad","Kelly","2","9"
20064,"Vanessa","Jones","2","9"
5976,"Lisa","West","2","9"
24545,"Tyler","Smith","2","9"
14943,"Hannah","Kelley","2","9"
14978,"Maurice","Jones","2","9"
1145,"Casey","Hamilton","2","9"
3135,"Terri","Pierce","2","9"
24752,"Thomas","Chang","2","9"
8295,"Ashley","Chase","2","9"
30663,"Margaret","Bryant","2","9"
19915,"Andrea","Burgess","2","9"
19851,"Barbara","Harmon","2","9"
77,"Brandon","Griffith","2","9"
11033,"Brandi","Hammond","2","9"
24777,"Jesse","Fernandez","2","9"
1294,"Craig","Delgado","2","9"
12116,"Hannah","Beck","2","9"
22116,"Bianca","Dean","2","9"
1306,"Thomas","Hutchinson","2","9"
13053,"Tyler","Howard","2","9"
2550,"Mary","Cunningham","2","9"
3812,"Nicholas","Morales","2","9"
32821,"Alexandra","Schwartz","2","9"
30346,"Pamela","Bennett","2","9"
11517,"Eric","Lopez","2","9"
15566,"Doris","Marshall","2","9"
30206,"Matthew","Burgess","2","9"
1393,"Jerry","Chase","2","9"
30173,"Jenna","Evans","2","9"
30156,"William","Mills","2","9"
8017,"Brian","Walker","2","9"
26639,"Emma","Matthews","2","9"
32033,"Michael","Small","2","9"
15744,"Amanda","Mccarty","2","9"
26681,"Benjamin","Lewis","2","9"
2947,"Billy","King","2","9"
15957,"Joshua","Thomas","2","9"
7868,"Desiree","Zavala","2","9"
16077,"Gary","Fleming","2","9"
19425,"Ronald","George","2","9"
29889,"Tiffany","Jones","2","9"
11469,"Felicia","Mayer","2","9"
11072,"Ruth","Rivera","2","9"
29816,"Joseph","Cooper","2","9"
1578,"Jose","Villanueva","2","9"
16305,"Miranda","Sanchez","2","9"
29705,"Angel","Burns","2","9"
6320,"Bonnie","Stanley","2","9"
181,"Justin","Taylor","2","9"
22189,"Andrea","Young","2","9"
29621,"Veronica","Lynch","2","9"
