"readerid","firstname","lastname","genrename","readcount"
90,"Tammy","Walters","Cooking","4"
91,"Brittany","Russell","Criminal Justice","4"
92,"George","Fitzgerald","Fitness","4"
93,"Douglas","Morris","Literature","4"
95,"Robin","Johns","Sales","4"
96,"Ronald","Nelson","Fiction","4"
97,"Amy","Mata","Business","4"
98,"Brandon","Scott","Chemistry","4"
99,"Susan","Garcia","Horror","4"
100,"Michelle","Kerr","Biology","4"
101,"Brian","Calhoun","Film","4"
102,"Benjamin","Schmidt","Fantasy","4"
103,"Joseph","Watkins","Chemistry","4"
104,"Wesley","Ortega","Entrepreneurship","4"
105,"Beth","Harper","Accounting","4"
106,"Ruth","Rivera","Drama","4"
107,"Christy","Thomas","Art","4"
108,"Vanessa","Davenport","Art","4"
109,"Justin","Smith","Biography","4"
110,"Joseph","Grant","Finance","4"
111,"Derrick","Nguyen","Computer Science","4"
112,"Cynthia","Scott","Art","4"
113,"Alejandro","Kerr","Anthropology","4"
114,"Andrew","Zamora","Accounting","4"
115,"Isaac","Arias","Graphic Novel","4"
116,"Christopher","Duke","Literature","4"
117,"Tyler","Reed","Psychology","4"
118,"Valerie","Bates","Fitness","4"
119,"Charles","Gonzales","Biology","4"
120,"Jeffrey","Wheeler","Computer Science","4"
121,"Brandon","Brown","Computer Science","4"
122,"Jessica","Shepherd","Dentistry","4"
123,"Gregory","Green","Logistics","4"
124,"Matthew","Frederick","Technology","4"
125,"Rachel","Miller","Politics","4"
126,"Joseph","Henson","Engineering","8"
127,"Bridget","Price","Technology","8"
128,"Kathy","Sullivan","Customer Service","4"
129,"Deborah","Jones","Science Fiction","8"
130,"Jessica","Wade","Business","4"
131,"Richard","Golden","Innovation","4"
132,"Kevin","Torres","Education","4"
133,"Kelly","Mcintyre","Geography","4"
134,"Christine","Vargas","Economics","4"
135,"Mark","Gray","Management","8"
136,"Tonya","Garcia","Fantasy","4"
137,"Katelyn","Lester","Marketing","8"
138,"Roberto","Smith","Graphic Novel","4"
139,"Sarah","Waters","Children","4"
140,"Michael","Morris","Anthropology","4"
141,"Hannah","Callahan","Criminal Justice","4"
142,"Vincent","Boyer","Biology","4"
143,"William","Smith","Education","4"
144,"Matthew","Huff","Anthropology","4"
145,"Travis","Salinas","Anthropology","8"
146,"Carolyn","Daniel","Theatre","4"
147,"John","Brown","Dance","4"
148,"Tiffany","Zimmerman","Dentistry","4"
150,"Edward","Ray","Accounting","4"
151,"Katherine","Shaw","Comics","4"
152,"Keith","Bailey","Anthropology","4"
153,"Susan","Roberson","Consulting","4"
154,"Erin","Hill","Literature","4"
155,"Danielle","Snyder","Drama","4"
156,"Juan","Wright","Management","4"
157,"Shannon","Ho","Engineering","4"
158,"Brittany","Watson","History","4"
159,"Elizabeth","Rodriguez","Mystery","8"
160,"Jill","Johnson","Graphic Novel","4"
161,"Debra","Olson","Health","8"
162,"Taylor","Jacobs","Cooking","4"
163,"Daniel","Cain","Biology","4"
164,"Nancy","Coleman","Biography","4"
165,"Tammy","Sullivan","Film","4"
166,"Katherine","Harper","Computer Science","4"
167,"Matthew","Roberson","Customer Service","4"
168,"Ashley","Lopez","Anthropology","4"
169,"Christine","Washington","Consulting","4"
170,"Robert","Cox","Engineering","4"
171,"Gary","Good","Law","4"
172,"Misty","Norman","Dentistry","4"
173,"Justin","Reed","Finance","4"
174,"Debbie","Curtis","Consulting","4"
175,"Jennifer","Mayer","Biology","4"
176,"Benjamin","Wood","Finance","4"
177,"Samantha","Vincent","Music","4"
178,"Daniel","Brown","Engineering","4"
179,"Wendy","English","Horror","4"
180,"Lisa","Cruz","Drama","4"
181,"Justin","Taylor","Fantasy","4"
182,"Robert","Beasley","Literature","4"
183,"Lauren","Cruz","Pharmacy","4"
184,"Jeremy","Wright","Drama","4"
185,"Christopher","Horton","Biography","4"
186,"Eric","Gross","Computer Science","4"
187,"Eric","Moore","Chemistry","4"
188,"Erin","Lynn","Science Fiction","4"
189,"Nancy","Bishop","Operations","4"
190,"Patricia","Mayo","Cooking","4"
191,"Michael","Johnson","Romance","4"
192,"Barbara","Chan","Finance","4"
193,"Edwin","Chaney","Nursing","8"
194,"Ronald","Roberts","Health","8"
195,"Joseph","Kim","Medicine","4"
196,"Danny","Scott","Philosophy","4"
197,"Michael","Riley","Management","4"
198,"Jake","Valenzuela","Dentistry","4"
199,"Angela","Hawkins","Computer Science","4"
200,"Sarah","Torres","Marketing","4"
201,"Jessica","Nunez","Business","4"
202,"Tom","Lopez","Anthropology","4"
203,"Joe","Morales","Anthropology","4"
204,"Adam","Cook","Drama","4"
205,"Michael","Rogers","Entrepreneurship","8"
206,"Beverly","Nichols","Art","4"
207,"Rebecca","Ward","Dentistry","4"
208,"Scott","Silva","Technology","4"
209,"Roy","Gibson","Economics","4"
210,"Susan","Brady","Comics","4"
211,"Joshua","Green","Finance","4"
212,"Sharon","Swanson","Biography","4"
213,"Patrick","Jones","Sports","4"
214,"Tyler","Moore","Human Resources","4"
215,"Dawn","Romero","Children","4"
216,"Wayne","Briggs","Chemistry","4"
217,"Edward","Morse","Autobiography","8"
218,"Shawn","Deleon","Accounting","4"
219,"Michael","Graham","Fantasy","4"
220,"Carrie","Alexander","Children","4"
221,"Rachel","Marsh","Biography","4"
222,"Edward","Morrison","Anthropology","4"
223,"Jennifer","Gordon","Drama","4"
224,"David","Gibbs","Biology","4"
225,"Richard","Robinson","Comics","4"
226,"Benjamin","Reid","Young Adult","4"
227,"Todd","Miller","Management","4"
228,"Shannon","Sanders","Music","8"
229,"Carl","Barnes","Sociology","4"
230,"Amanda","Franklin","Accounting","4"
231,"Ricky","Fields","Mystery","8"
232,"Jeremiah","Cabrera","History","4"
233,"Mary","Smith","Chemistry","4"
234,"Darlene","Daniel","Autobiography","4"
235,"Michael","Reese","Customer Service","4"
236,"Julie","Obrien","Physics","4"
237,"Rhonda","Robinson","Drama","4"
238,"Rodney","Deleon","Customer Service","4"
239,"Darlene","Johnson","Politics","8"
240,"Destiny","Powell","Customer Service","4"
241,"Joseph","Cummings","Criminal Justice","4"
242,"Zachary","Finley","Autobiography","4"
243,"Michael","Martinez","Business","4"
244,"Nicholas","James","Customer Service","4"
245,"Veronica","Coleman","Horror","4"
246,"Angela","Campos","Accounting","4"
247,"Tara","Lopez","Business","4"
248,"Jacqueline","Hutchinson","History","4"
249,"Wanda","Jones","Management","4"
250,"Meredith","Walker","History","4"
251,"Rodney","Stewart","Business","4"
252,"Chad","Pruitt","Nursing","4"
253,"Lindsey","Hooper","Journalism","4"
254,"Kevin","Jones","Theology","4"
256,"Beverly","Frazier","Poetry","4"
257,"Nicole","Wright","Fiction","4"
258,"Brian","Willis","Biography","4"
259,"Audrey","Brooks","Consulting","4"
260,"Jesse","Huber","Operations","4"
261,"Meagan","Bauer","Autobiography","4"
262,"Tamara","Grant","Autobiography","4"
263,"Christine","Gardner","Science","4"
264,"Cynthia","Watkins","Children","4"
265,"Kelly","Murillo","Autobiography","4"
266,"Cassandra","Herring","Health","4"
267,"Michael","Weeks","Dentistry","4"
268,"Heather","Mitchell","Economics","4"
269,"Brandon","Garrett","Supply Chain","8"
270,"Julie","Mercado","Dentistry","4"
271,"Kelly","Johnson","Psychiatry","4"
272,"Kimberly","Clarke","Sports","4"
273,"Alexander","Becker","Innovation","4"
274,"Trevor","White","Economics","4"
275,"Richard","Robinson","Economics","4"
277,"Jamie","Chambers","Anthropology","4"
278,"Jennifer","Wilson","Biology","8"
279,"Justin","Ramos","Sales","4"
280,"Tim","Moore","Engineering","4"
281,"Brittney","James","Information Technology","4"
282,"Damon","Jones","Film","4"
283,"Edward","Bryant","Comics","4"
284,"Bethany","Mayo","Dentistry","4"
285,"Chelsea","Valentine","Graphic Novel","4"
286,"Joshua","Jones","Political Science","4"
288,"Anthony","Fischer","Customer Service","4"
289,"Hannah","Perry","Cooking","4"
290,"David","Ali","Customer Service","8"
291,"Tina","Arnold","Health","4"
292,"Antonio","Hunter","Education","4"
293,"Alyssa","Lawrence","Travel","4"
294,"Sara","Turner","Customer Service","4"
295,"Sharon","Mitchell","Finance","4"
296,"Connie","Kim","History","4"
297,"Erika","Jenkins","Politics","4"
298,"Heather","Gomez","Supply Chain","4"
299,"Adam","Hull","Thriller","4"
300,"Ashlee","Hamilton","Literature","8"
301,"Lisa","Davis","Cooking","4"
302,"Darin","Williams","Theatre","4"
303,"Selena","Gordon","Television","8"
304,"Jennifer","Harris","Geography","4"
306,"Lindsey","Archer","Children","4"
307,"Stephen","Mcguire","Biology","4"
308,"Jose","Mack","Biology","4"
309,"Melanie","Davis","Economics","4"
310,"Natasha","Deleon","Fantasy","4"
312,"James","Flynn","Fiction","4"
313,"Heather","Blackwell","Comics","4"
314,"Leah","Ford","Education","4"
315,"Paul","Harris","Consulting","4"
316,"Michael","Simpson","Dance","4"
317,"Joel","Haynes","Operations","4"
318,"Randy","Smith","Autobiography","4"
319,"Jason","Fisher","Fiction","4"
320,"Jason","Stanley","Engineering","4"
321,"Bradley","Barnes","Customer Service","4"
322,"Tony","Park","Economics","4"
323,"Julie","Martinez","Anthropology","4"
324,"Sarah","Sellers","Information Technology","4"
325,"David","Hodges","Dentistry","4"
326,"Larry","Ellis","Human Resources","4"
327,"Julie","Roberts","Chemistry","4"
329,"Alexandra","Smith","Customer Service","4"
330,"Patricia","Alexander","Accounting","4"
331,"Emma","Weaver","Information Technology","4"
332,"Linda","Lewis","Business","4"
333,"Keith","George","Customer Service","4"
334,"Crystal","Lawson","Operations","4"
335,"Stephanie","Martinez","Non-Fiction","4"
336,"Erin","Robinson","Music","4"
337,"Denise","Carroll","Geography","4"
338,"Sally","Walker","Cooking","4"
340,"Charles","Rose","Nursing","4"
341,"Kelsey","Garcia","Horror","4"
342,"Jason","Acevedo","Strategy","8"
343,"Sarah","Deleon","Art","4"
344,"Erika","Henderson","Anthropology","4"
345,"Robert","Hill","Law","4"
346,"Anne","Taylor","Dance","4"
347,"Christine","Walker","Finance","4"
348,"Stephanie","Watson","Film","8"
349,"Ryan","Hernandez","Engineering","8"
350,"Melissa","Mathis","Technology","8"
351,"Amanda","Green","Physics","4"
352,"Alison","Shaw","Criminal Justice","4"
353,"Meredith","Ryan","Business","4"
354,"Ronald","Stevens","Drama","4"
355,"Lindsey","Jackson","Fantasy","4"
356,"Troy","Baker","Engineering","4"
357,"Jennifer","Brown","Education","4"
358,"Monica","Wade","Supply Chain","8"
359,"Jonathan","Gonzalez","Children","4"
360,"Kristen","Ewing","Art","4"
361,"Danielle","Whitehead","Entrepreneurship","4"
362,"Heather","Bullock","Biology","4"
363,"Michelle","Macdonald","Children","4"
364,"Manuel","Mcdaniel","Children","4"
365,"Matthew","Lopez","Psychology","4"
366,"Amanda","Marshall","Fantasy","4"
367,"Frank","Morrison","Biology","4"
368,"Patricia","Ritter","Health","4"
369,"Derek","Johnson","Engineering","4"
370,"Shawn","Johnston","Poetry","4"
371,"Lisa","Williams","Autobiography","4"
372,"David","Gibson","Biography","4"
373,"Randy","Hansen","Political Science","4"
374,"Matthew","Ramirez","Comics","4"
376,"Cynthia","Mcdonald","Children","4"
377,"Cheryl","Welch","Autobiography","4"
378,"Heather","Gardner","Travel","4"
379,"Joe","Mcclain","Mystery","4"
380,"Daniel","Turner","Comics","4"
381,"Christian","Becker","Romance","4"
382,"Michele","Smith","Leadership","4"
383,"Michael","Edwards","Autobiography","4"
384,"Jessica","Davies","Computer Science","4"
385,"Kevin","Gilbert","Science Fiction","4"
386,"Rhonda","Lewis","Cooking","4"
387,"Melissa","Cruz","Anthropology","4"
388,"Richard","Lopez","Biography","4"
389,"Charles","Wilson","Sports","4"
390,"Arthur","Walton","Customer Service","4"
391,"Emily","Lee","Dentistry","4"
392,"Douglas","Knight","Fantasy","4"
393,"Caroline","Garcia","Logistics","4"
394,"Mark","Rodriguez","Consulting","4"
395,"Richard","Miller","Dance","4"
396,"Leah","Sherman","Biography","4"
397,"Robin","Drake","Fantasy","4"
399,"Scott","Richards","Engineering","4"
400,"Maria","Combs","Film","4"
401,"Leslie","Miles","Accounting","4"
402,"Richard","Wilson","Consulting","4"
403,"Holly","Young","Drama","4"
404,"Rachael","Humphrey","Law","4"
405,"Andre","Chan","Customer Service","4"
406,"Jennifer","Rocha","Criminal Justice","4"
408,"Elizabeth","Turner","Biology","4"
409,"Cassidy","Anderson","Accounting","4"
410,"Scott","Baker","Journalism","4"
411,"Thomas","Malone","Customer Service","4"
412,"Charles","Bishop","Information Technology","4"
413,"Jennifer","Davis","Biography","4"
414,"Thomas","Rogers","Dance","4"
415,"Audrey","Harrison","Information Technology","4"
416,"Justin","Baldwin","Consulting","4"
417,"Michael","Taylor","Graphic Novel","4"
418,"Andrea","Johnson","Science Fiction","4"
419,"Nicholas","Mcgee","Autobiography","4"
420,"Cindy","Patterson","Human Resources","4"
421,"Barbara","Mitchell","Anthropology","4"
423,"Patricia","Leon","Radio","4"
424,"Jesus","Johnson","Dentistry","4"
425,"Brandon","Wilcox","Theology","4"
426,"Jeffrey","Paul","Autobiography","4"
427,"Dawn","Ortiz","Anthropology","4"
428,"Bailey","Green","Medicine","4"
429,"Maxwell","Smith","Non-Fiction","4"
430,"Cynthia","Richardson","Computer Science","4"
431,"Michael","Hernandez","Operations","4"
432,"Michael","Scott","Theology","8"
433,"Amber","Nunez","Computer Science","4"
434,"Donna","Manning","Art","4"
435,"Adam","Padilla","Finance","4"
436,"Kelsey","Smith","Education","4"
437,"David","Freeman","Chemistry","4"
438,"Angela","Hendricks","History","4"
439,"Emma","Taylor","Cooking","4"
440,"Joshua","Hernandez","Graphic Novel","4"
441,"Stephen","Rodriguez","Anthropology","4"
442,"Vickie","Moore","Education","4"
443,"Bridget","Li","Travel","4"
444,"Matthew","Guerrero","Geography","4"
445,"Michael","Wood","Consulting","4"
446,"Joshua","Jones","Children","4"
447,"Thomas","Leonard","Biology","4"
448,"Amanda","Jones","Biography","4"
449,"Mark","Knight","Health","4"
450,"Joel","Thomas","Fantasy","4"
451,"Maxwell","Gutierrez","Biology","4"
452,"Gregory","Smith","Innovation","4"
453,"Gary","Murphy","Graphic Novel","4"
454,"Natalie","Berry","Fiction","4"
455,"Laurie","Delgado","Graphic Novel","4"
456,"Sydney","Ray","Accounting","8"
457,"Jon","Pierce","Computer Science","4"
458,"Anthony","Mitchell","Accounting","4"
459,"Robert","Tran","Autobiography","4"
460,"Paige","Davis","Chemistry","4"
461,"Samantha","Richards","Mathematics","4"
462,"Ashley","Lopez","Autobiography","4"
463,"Jessica","Mendoza","Geography","4"
464,"Shelby","Wright","Dance","4"
465,"Brittany","Powell","Law","4"
466,"Carol","Martin","Anthropology","4"
467,"Tracy","Schneider","Autobiography","4"
468,"Stanley","Collins","Entrepreneurship","4"
469,"Gerald","Dunn","Children","4"
470,"Trevor","Smith","Biology","4"
471,"Belinda","Young","Innovation","4"
472,"Maria","Johnson","Dance","4"
473,"Amanda","Galloway","Politics","4"
474,"Anthony","Gonzalez","Children","4"
475,"Micheal","Jones","Criminal Justice","4"
476,"Christina","Castro","Romance","4"
477,"Kirk","Hall","Business","4"
478,"Thomas","Phillips","Comics","4"
479,"Brandon","Flores","Accounting","4"
480,"Linda","Stephens","Biology","4"
481,"Tara","Wilson","Engineering","4"
482,"Jeffrey","James","Law","4"
483,"Heather","Williams","Accounting","4"
484,"Janet","Howell","Finance","4"
485,"Mark","Greene","History","4"
486,"Frederick","Farmer","Chemistry","4"
487,"Jessica","Gilbert","Drama","4"
488,"Barbara","Alexander","Comics","4"
489,"Madison","Avery","Veterinary","4"
490,"Steven","Murphy","Accounting","4"
491,"Linda","Cooper","Drama","4"
492,"Noah","Higgins","Journalism","4"
493,"Pamela","Finley","Fiction","4"
494,"Timothy","Sanchez","Art","4"
495,"Daniel","Smith","Literature","4"
496,"John","Crawford","Consulting","4"
497,"Catherine","Drake","Strategy","8"
499,"Ryan","Mccormick","Art","4"
500,"Joseph","Manning","Drama","4"
501,"Mary","Anderson","Biology","4"
503,"Anita","Frost","Literature","4"
504,"Kim","Atkins","Fiction","4"
505,"Tina","Case","Criminal Justice","4"
506,"Juan","Williams","Economics","4"
507,"Keith","Day","Cooking","4"
508,"Adam","Garcia","Leadership","4"
509,"Andrew","Norton","Customer Service","4"
510,"Gabriel","Holt","Engineering","4"
511,"Nancy","Norman","Psychology","4"
512,"Adam","Rodriguez","Accounting","4"
513,"Jacqueline","Herrera","Consulting","4"
514,"Catherine","Stewart","Leadership","4"
515,"Andrew","Hernandez","Theology","4"
516,"Maria","Davis","Sociology","4"
517,"Renee","Tate","Religion","8"
518,"Michael","West","Human Resources","4"
519,"Christopher","Gross","Leadership","4"
520,"Megan","Brown","Entrepreneurship","4"
521,"Krista","Dixon","Biography","4"
522,"James","Mendez","Children","4"
523,"Jacob","Miller","Health","4"
525,"Frederick","Warner","Customer Service","4"
526,"Samuel","Brown","Human Resources","4"
527,"Philip","Webster","Innovation","4"
528,"Tina","Williams","Computer Science","4"
529,"Matthew","Smith","Comics","4"
530,"Timothy","Johnson","Business","8"
531,"Faith","Carter","Entrepreneurship","4"
532,"Eric","Long","Computer Science","4"
533,"Joshua","Carlson","Cooking","4"
534,"Ashley","Gonzalez","Fantasy","4"
535,"Tracey","Wood","Art","4"
536,"Kaitlin","Sharp","Anthropology","4"
537,"Kenneth","Jacobs","Human Resources","4"
538,"Brandi","Pittman","Biography","4"
539,"Cory","Trevino","Business","4"
540,"Matthew","Wilson","Nursing","8"
541,"Rachael","Neal","Consulting","4"
542,"Jenna","Shea","Theology","4"
543,"Jeremy","Diaz","Accounting","4"
544,"Kevin","Miller","Finance","4"
545,"Christopher","Walter","Art","4"
546,"Mark","Ferrell","Computer Science","4"
547,"Cynthia","Lane","Thriller","8"
548,"Ryan","Christensen","Geography","8"
549,"Rebecca","Burns","Children","4"
550,"Jessica","Matthews","Mathematics","4"
551,"Carla","Larson","Autobiography","4"
552,"Sara","Perry","Chemistry","4"
553,"Johnny","Campbell","Art","4"
554,"Louis","Mcdonald","Film","4"
555,"Lori","Blackwell","Customer Service","4"
556,"Christina","Nelson","Biography","4"
557,"Gerald","Hall","Art","4"
558,"Tyler","Simon","Children","4"
559,"Edward","Price","Political Science","4"
560,"Shannon","Austin","Leadership","4"
561,"Tina","Mckenzie","Comics","4"
562,"Teresa","Nguyen","Computer Science","4"
563,"Jeffrey","Barton","Fitness","4"
564,"Michael","Gibson","Human Resources","4"
565,"Nicole","Glenn","Politics","8"
566,"Brian","Baker","Comics","4"
567,"Diana","Oneal","Supply Chain","8"
568,"Shelly","Marshall","Sales","4"
569,"Danielle","Aguilar","Business","4"
570,"Justin","Pitts","Horror","4"
571,"Anna","Tyler","Computer Science","4"
572,"Maria","Johnson","Fantasy","4"
573,"Michael","Rivera","Biology","4"
574,"Shannon","Smith","Consulting","4"
575,"Timothy","Ramsey","Biology","4"
576,"Matthew","Sparks","Logistics","4"
577,"Daniel","Phillips","Art","4"
578,"Amy","Rivera","Fiction","4"
579,"William","Conway","Leadership","4"
580,"Scott","Taylor","Anthropology","4"
582,"Jennifer","Young","Operations","4"
583,"James","Moore","Fiction","4"
584,"Theresa","Williams","Comics","4"
585,"Michael","Brown","Accounting","4"
586,"Joshua","Vaughn","Autobiography","4"
587,"James","Stone","Travel","4"
588,"Peter","Ward","Literature","4"
589,"Holly","Hess","Sociology","8"
590,"Teresa","Collins","Business","8"
591,"Shaun","Peterson","Fiction","4"
592,"Benjamin","Scott","Pharmacy","4"
593,"Nicholas","Ellison","Fiction","4"
594,"Nichole","Warner","Film","4"
595,"Kristin","Burch","Fitness","4"
596,"Steve","Yates","Film","4"
597,"Tiffany","Snow","Education","4"
598,"Aaron","Adams","Consulting","4"
599,"April","Taylor","Chemistry","4"
600,"Daniel","Wells","Criminal Justice","4"
601,"Paul","Garcia","Leadership","4"
602,"Elizabeth","Johnson","Dance","4"
603,"Rebecca","Jones","Comics","4"
604,"Danielle","Anderson","Human Resources","4"
605,"Margaret","Mason","Fantasy","4"
606,"Hayley","Mcclure","Consulting","4"
607,"Stephen","Rhodes","Young Adult","4"
608,"Jacob","Stokes","Leadership","4"
609,"Ashley","Martin","Journalism","4"
610,"Jill","Rojas","Entrepreneurship","4"
611,"Jose","Jones","Anthropology","4"
612,"Emily","Daniels","Education","4"
613,"Andrew","Cunningham","Innovation","4"
614,"Hunter","Blake","Religion","4"
615,"John","Moon","Journalism","12"
616,"Ryan","Hall","Engineering","4"
617,"Daniel","Stewart","Spirituality","8"
618,"Patricia","Garza","Engineering","4"
619,"Margaret","Walker","Non-Fiction","4"
620,"Shari","Phillips","Science","8"
621,"Ryan","Nunez","Travel","4"
622,"Jacob","Daniel","Radio","4"
623,"Gabriel","Green","Music","4"
624,"Brittney","Friedman","Consulting","8"
625,"Victoria","Klein","Romance","8"
626,"Melissa","Mcdonald","Entrepreneurship","4"
627,"Michael","Vasquez","Accounting","4"
628,"Roberta","Hernandez","Autobiography","4"
629,"Jaime","Gomez","Chemistry","4"
630,"Stephanie","Moody","Customer Service","4"
631,"Evan","Martinez","Finance","4"
632,"Joshua","Miller","Economics","4"
633,"David","Henderson","Customer Service","4"
634,"Hunter","Myers","Dentistry","4"
635,"Rebecca","Parrish","Poetry","4"
636,"Ethan","Martinez","Economics","4"
637,"Travis","Carroll","Consulting","8"
639,"Caleb","Fields","Fiction","4"
640,"Peggy","Romero","Education","4"
641,"John","Thomas","Technology","4"
642,"Tina","Peterson","Accounting","4"
643,"Teresa","Kennedy","Drama","8"
644,"Sarah","Tucker","Drama","4"
645,"Wendy","Nguyen","Biography","4"
646,"Erika","Arroyo","Children","4"
647,"Cameron","Garcia","Dance","4"
648,"James","Davis","Customer Service","4"
649,"Ryan","Gay","Graphic Novel","4"
650,"Sonya","Taylor","Cooking","4"
651,"Karen","Russell","Psychiatry","4"
652,"Andrea","Leon","Art","4"
653,"Gregory","Mason","Art","4"
654,"Travis","Taylor","Computer Science","4"
655,"Michael","Marshall","Art","4"
656,"Lisa","Holt","Dance","4"
657,"Jody","Payne","Biography","4"
658,"Melissa","Lester","Computer Science","4"
659,"Melissa","Long","Art","4"
660,"William","Weber","Horror","4"
661,"William","Pena","Autobiography","4"
662,"Jasmine","Moore","Chemistry","4"
663,"Kelly","Miller","Chemistry","4"
664,"Matthew","Montoya","Fantasy","4"
665,"Victoria","Walters","Education","4"
666,"Deborah","Fox","Technology","4"
667,"Julie","Singleton","Accounting","4"
668,"Vanessa","Mcdonald","Fantasy","4"
669,"Jesus","Blair","Computer Science","4"
670,"Olivia","Ferguson","Cooking","4"
671,"Julie","Torres","Biography","4"
672,"Zachary","Moore","Business","4"
673,"Rebecca","Martinez","Fantasy","8"
674,"Thomas","Davis","Economics","4"
675,"Jeremy","Stevens","Art","4"
676,"Cameron","Barajas","Theology","4"
677,"Lori","Cole","Dentistry","4"
678,"Shirley","Martin","History","4"
679,"Joann","Sutton","Biography","4"
680,"Marilyn","Smith","Biology","4"
681,"Stacey","Smith","Physics","8"
682,"Kayla","Little","Consulting","4"
683,"Jeffrey","Ho","Thriller","4"
684,"Laurie","Martinez","Dentistry","8"
685,"Dustin","Cook","Cooking","8"
686,"Adam","Aguirre","Biology","8"
688,"Stephen","Griffin","Science Fiction","4"
689,"Jessica","Johnson","Spirituality","8"
690,"Lindsey","Hunter","Dentistry","4"
691,"Gregory","Andrade","Fiction","4"
692,"Todd","Lopez","Veterinary","8"
693,"Andrew","Reilly","Film","4"
694,"Tracy","Hamilton","Biography","4"
696,"Amy","Gregory","Sociology","4"
697,"Nicole","Moore","Horror","4"
698,"Alan","Guzman","Engineering","4"
699,"Diane","Mitchell","History","4"
700,"Kimberly","Delgado","Autobiography","4"
701,"Mary","Bailey","Film","4"
702,"Krystal","Atkins","Anthropology","4"
703,"Melissa","Lucas","Drama","4"
704,"Christine","Zamora","Law","4"
705,"Daniel","Hernandez","Children","4"
706,"Nicole","Miller","Journalism","4"
707,"Ronald","Carter","Accounting","4"
708,"Katrina","Davis","Education","4"
709,"Alexandra","Hale","Chemistry","4"
710,"Jeremy","Jimenez","Accounting","4"
711,"Elizabeth","Crawford","Psychology","4"
712,"Juan","Wood","Customer Service","4"
713,"Jennifer","Sims","Cooking","4"
714,"Michelle","Garrett","Art","4"
715,"John","Estes","Economics","4"
716,"Danny","Grant","Horror","4"
717,"Jordan","Wood","Comics","4"
718,"Ashley","Zimmerman","Accounting","4"
