"readerid","firstname","lastname","totalbooksborrowed"
16966,"Vanessa","Briggs","8"
29865,"David","Coleman","8"
28709,"Carrie","Mclean","8"
14882,"Megan","Baker","8"
3391,"Anna","Peck","8"
18882,"Samantha","Thompson","8"
30980,"Gregory","Stewart","8"
16057,"Stephen","Powers","8"
25865,"Erica","Thomas","8"
21203,"Crystal","Smith","8"
13105,"Brenda","Chapman","8"
32210,"Melanie","Riggs","8"
10477,"James","Monroe","8"
25638,"Micheal","Blackwell","8"
13980,"Kyle","Scott","8"
25597,"Angela","Stewart","8"
3198,"Ryan","Wilson","8"
26668,"Michael","Lane","8"
11369,"Lisa","Holland","8"
8294,"Amanda","Bowen","8"
30735,"Denise","Wright","8"
29495,"David","Pacheco","8"
28930,"Kathryn","Foster","8"
18530,"Robert","Cook","8"
7283,"Gregory","Wilkerson","8"
24369,"Jared","Jefferson","8"
12313,"Austin","Stewart","8"
3490,"Patricia","Forbes","8"
9936,"April","Simmons","8"
31097,"Jeremy","Jackson","8"
4115,"Jennifer","Davis","8"
28764,"Jonathan","Casey","8"
2234,"Laura","Anderson","8"
24269,"Joseph","Carpenter","8"
19725,"Rhonda","Nguyen","8"
31583,"Alex","Johnson","8"
1293,"Nicole","Wallace","8"
30758,"Bobby","Lopez","8"
16628,"Jonathan","Gonzalez","8"
5110,"Brian","Williams","8"
30003,"Daniel","Brown","8"
29815,"Alicia","Brown","8"
29119,"Brooke","Sullivan","8"
18923,"Mason","Carlson","7"
30792,"Alicia","Riddle","7"
17580,"Amber","Thompson","7"
22624,"Penny","Guerrero","7"
17197,"Lisa","Smith","7"
18748,"Rachel","White","7"
7868,"Desiree","Zavala","7"
28932,"Courtney","Murphy","7"
8576,"Erica","Shaw","7"
1605,"Lee","Villarreal","7"
5129,"Mathew","Grimes","7"
27038,"Anna","Walker","7"
6758,"Elizabeth","Sanders","7"
10594,"David","Gray","7"
16785,"John","Williams","7"
684,"Laurie","Martinez","7"
11837,"Jim","Hudson","7"
27211,"Brittney","Burton","7"
8905,"Manuel","Jones","7"
13115,"Makayla","Clark","7"
31325,"Shannon","Carter","7"
11825,"Karen","Dillon","7"
11845,"Samuel","Frey","7"
22087,"Charles","Acosta","7"
30497,"Steven","Gomez","7"
25978,"Alexander","Cannon","7"
20063,"Susan","Klein","7"
1755,"Michael","Fernandez","7"
6034,"Tammy","Schultz","7"
10226,"Billy","Chan","7"
25264,"Dean","Mcclain","7"
28901,"Maria","Aguilar","7"
3884,"Tina","Flores","7"
19749,"Aaron","Munoz","7"
25662,"Johnny","Carlson","7"
24415,"Jack","Pittman","7"
28715,"Robert","Smith","7"
28842,"April","Wilkins","7"
19618,"Alan","Macdonald","7"
5407,"Brent","Figueroa","7"
18708,"Sarah","Gates","7"
30586,"Michael","Stanton","7"
626,"Melissa","Mcdonald","7"
2508,"Danielle","Villegas","7"
19288,"Terrance","Jackson","7"
9585,"James","Chavez","7"
161,"Debra","Olson","7"
14839,"Matthew","Ibarra","7"
13368,"Janice","Taylor","7"
14057,"Kevin","Howard","7"
28060,"Austin","King","7"
11066,"Jennifer","Davis","7"
10152,"Christina","Holmes","7"
27298,"Eric","Lawrence","7"
21234,"Amber","Washington","7"
13216,"Stephanie","Sharp","7"
3020,"Connie","Smith","7"
3838,"Jonathan","Turner","7"
30513,"Tamara","Morris","7"
21822,"Jennifer","Adams","7"
16870,"Alicia","Moore","7"
13254,"Jennifer","Thomas","7"
16716,"Dillon","Briggs","7"
27302,"Shannon","Hudson","7"
5913,"Ian","Fisher","7"
18295,"Jason","Lawrence","7"
25945,"Jesse","Sparks","7"
22023,"Anna","Kidd","7"
21009,"Rachael","Simmons","7"
19827,"Mark","Mccarthy","7"
1559,"James","Howard","7"
9263,"Eileen","Brown","7"
15711,"Barry","Dunn","7"
31073,"Angela","Johnson","7"
4838,"Heather","Green","7"
1294,"Craig","Delgado","7"
7134,"Wyatt","Arnold","7"
9088,"Patricia","Gomez","7"
26967,"Roberto","Wilson","7"
20275,"Shannon","Mitchell","7"
1973,"Barbara","Mcintosh","7"
11445,"Laura","Macdonald","7"
20216,"Karen","Wilson","7"
6558,"Jeffrey","Garcia","7"
13451,"Bryan","Smith","7"
26771,"Calvin","Mcdonald","7"
3382,"Austin","Strong","7"
5601,"Dana","Rodgers","7"
16221,"Troy","Taylor","7"
25422,"Martin","Johnson","7"
18780,"Patrick","Reyes","7"
13444,"Karen","Phillips","7"
2382,"James","Owens","7"
5454,"David","Luna","7"
25332,"Benjamin","Hunt","7"
15326,"Pamela","Strickland","7"
14426,"Michael","Crawford","7"
30314,"Nicholas","Wright","7"
7391,"Vincent","Church","7"
9062,"Patricia","Sullivan","7"
10031,"Daniel","Byrd","7"
14524,"Kristen","White","7"
13227,"Lindsay","Palmer","7"
29265,"Erin","Wright","7"
17041,"Sean","Wolf","7"
16876,"Jacob","Briggs","7"
18916,"Pamela","Rivera","7"
27049,"Tammy","English","7"
7955,"Sean","Christensen","7"
31368,"Robert","Walker","7"
27982,"Jerry","Kemp","7"
15485,"Kelsey","Vaughn","7"
16252,"Michael","Chang","7"
15364,"Jacqueline","Anderson","7"
27109,"Joshua","Berry","7"
1039,"Andrew","Montoya","7"
24687,"Sharon","Murphy","7"
16747,"Kelly","Mclean","7"
9342,"Jeffrey","Liu","7"
10744,"Abigail","Smith","7"
15994,"Amy","Kim","7"
269,"Brandon","Garrett","7"
3170,"Elizabeth","Wood","7"
10882,"Donald","Wallace","7"
11919,"Katelyn","Mckenzie","7"
14337,"Billy","Johnson","7"
33000,"Jenna","Parker","7"
24017,"Leah","Bond","7"
20530,"Louis","Fitzgerald","7"
5190,"Danielle","Dunn","7"
21436,"Lindsey","Taylor","7"
7448,"Erin","Hawkins","7"
29241,"Patricia","Shaw","7"
17649,"Jason","Navarro","7"
25321,"Lisa","Weber","7"
16911,"Taylor","Turner","7"
3291,"Robert","Gray","7"
2510,"Terri","Williamson","7"
13965,"Lori","Daniels","7"
17282,"Dana","Sampson","7"
29362,"James","Burke","7"
7388,"Christopher","Johnson","7"
29005,"Heather","Sherman","7"
3105,"Jacob","Fischer","7"
230,"Amanda","Franklin","7"
25349,"Amy","Mitchell","7"
4203,"Jack","Newman","7"
21121,"Katie","Morris","7"
9394,"Richard","Kennedy","7"
789,"Derek","Johnson","7"
27052,"Stephanie","Bell","7"
1351,"Andrea","Sanchez","7"
30878,"Henry","Schmidt","7"
23339,"Sheila","Tran","7"
21481,"Angela","Gonzalez","7"
13479,"Jennifer","Lopez","7"
29469,"Desiree","Davies","7"
13303,"Dillon","Smith","7"
21730,"Ryan","Haley","7"
10488,"Sarah","Parker","7"
30145,"Danielle","Olson","7"
23853,"Kathryn","Mckinney","7"
32027,"Jennifer","Scott","7"
23651,"Whitney","Burke","7"
7520,"Thomas","Scott","7"
9874,"Samantha","Stevens","7"
25563,"Dustin","Johnson","7"
29777,"Valerie","Salazar","7"
14490,"Hannah","Thomas","7"
28757,"Mary","Simpson","7"
3613,"Steven","Fowler","7"
6921,"Janet","Mckenzie","7"
16569,"Jennifer","Hernandez","7"
7555,"Nathan","May","7"
9449,"Daniel","Pierce","7"
28968,"Aaron","Martinez","7"
12191,"Jeffrey","Chen","7"
16691,"Michelle","Guzman","7"
20014,"Chad","Alvarez","7"
18822,"Brendan","Davis","7"
3042,"Angel","Hughes","7"
2406,"Tyler","Turner","7"
28973,"John","Thornton","7"
29361,"Melissa","Keller","7"
28402,"Lee","Savage","7"
32702,"Dawn","Francis","7"
15581,"Renee","Peters","7"
16743,"Jeremy","Reed","7"
18403,"Jose","Jenkins","7"
24086,"Steven","Hess","7"
32332,"Regina","Green","7"
9613,"Dylan","Williams","7"
1395,"Michelle","Nelson","7"
2090,"Amanda","Oconnell","7"
26995,"Paige","Scott","7"
14729,"Ann","Barrett","7"
16024,"Ellen","Wolfe","7"
7801,"Eric","Thornton","7"
6550,"Alexander","Lewis","7"
23414,"Diamond","Collins","7"
10707,"Brian","Griffin","7"
6198,"Nancy","Crawford","7"
5933,"Alfred","Anderson","7"
30434,"Terry","Lopez","7"
6710,"Anthony","Johnson","7"
29915,"Timothy","Bradley","7"
12782,"Colleen","Woods","7"
29938,"Jason","Crawford","7"
10672,"Amy","Gray","7"
17400,"Laura","Ferrell","7"
978,"Clayton","Thompson","7"
32338,"Christopher","Carroll","7"
33187,"Natalie","Chambers","7"
27887,"David","Smith","7"
22633,"Joshua","Arnold","7"
16466,"Joshua","Patrick","7"
15144,"Amanda","Parker","7"
23636,"Shawn","Johnson","7"
3075,"Nancy","Stafford","7"
13005,"Lisa","Reed","7"
14044,"Wendy","Lindsey","7"
7482,"Ronnie","Simon","7"
10838,"Daniel","Zimmerman","7"
30091,"Jennifer","Sandoval","7"
4296,"Eric","Medina","7"
28900,"Cynthia","Osborne","7"
2941,"Jessica","Gonzalez","7"
10462,"Crystal","Beck","7"
987,"Cody","Rodriguez","7"
16825,"Mary","Mckenzie","7"
11856,"Shawn","Porter","7"
2199,"Marcus","Brown","7"
231,"Ricky","Fields","7"
11774,"Robert","Patton","7"
26870,"Rickey","Chang","7"
4958,"Emily","Peterson","7"
18047,"Victoria","Mathis","7"
21034,"John","Wiggins","7"
32775,"Jessica","Anderson","7"
3875,"David","Webb","7"
33130,"Clifford","Brown","7"
29565,"Ralph","Hayes","7"
9942,"Dominic","Hansen","7"
20818,"Kendra","Stevens","7"
548,"Ryan","Christensen","7"
27200,"Kenneth","Spencer","7"
26616,"Valerie","Smith","7"
10243,"Denise","Smith","7"
736,"Michael","Lambert","7"
25813,"James","Wells","7"
12730,"Jose","Patterson","7"
11304,"James","Williams","7"
25009,"Christopher","Chung","7"
28814,"Lisa","Adams","7"
15679,"Cathy","Franklin","7"
13261,"Bethany","Johnson","7"
31061,"Christopher","Smith","7"
23384,"Aaron","White","7"
9152,"Derek","Raymond","7"
4722,"Timothy","Jones","7"
30952,"Alexander","Dennis","7"
26110,"Samantha","Smith","7"
11303,"Joshua","Warren","7"
7342,"Rhonda","Williams","7"
1932,"Brad","Dennis","7"
5137,"Stephen","Mitchell","7"
26622,"Anthony","Lopez","7"
23859,"Aimee","Johnson","7"
29993,"Tonya","Taylor","7"
10019,"Abigail","Miller","7"
5776,"Samantha","Robertson","7"
15631,"William","Jones","7"
941,"William","Cook","7"
11972,"Jerry","Gilbert","7"
17877,"Bruce","Dixon","7"
11280,"Robert","White","7"
28245,"Andrew","Anderson","7"
7174,"Andrew","Jackson","7"
7063,"Cheryl","Spencer","7"
25735,"Daniel","Ramos","7"
2050,"Richard","Lopez","7"
27938,"Lori","Stewart","7"
14562,"Stephen","Thompson","7"
9928,"Michelle","Riley","7"
19445,"Hannah","Montes","7"
15812,"Maria","Hunt","7"
20416,"Kristen","Gibbs","7"
13026,"Jeff","Kerr","7"
4528,"Sean","Castillo","7"
14054,"Micheal","Robertson","7"
21342,"John","Leon","7"
3147,"Erica","Smith","7"
8489,"Erik","Gardner","7"
29274,"Kevin","Meyer","7"
24905,"Steven","Hill","7"
20485,"Andrew","Mcintosh","7"
19293,"Beth","Cook","7"
5884,"Susan","Hale","7"
15322,"Morgan","Bernard","7"
12179,"Robert","Fowler","7"
22717,"Katherine","Hess","7"
6802,"Mary","Howard","7"
22559,"John","Woods","7"
31377,"Jason","Campbell","7"
21543,"Jorge","Jarvis","7"
12119,"Susan","Murphy","7"
10304,"Crystal","Bowman","7"
6650,"James","Navarro","7"
7763,"Sarah","Taylor","7"
3368,"Erica","Davis","7"
21583,"Gina","Hart","7"
18140,"Nicholas","Bell","7"
15432,"Heather","Davis","7"
15956,"Michael","Nguyen","7"
28941,"Nicole","Olson","7"
31641,"Cody","Rodriguez","7"
20294,"Anthony","Boone","7"
27518,"James","Lee","7"
17338,"Kenneth","Forbes","7"
3763,"Sharon","Green","7"
23025,"Nancy","Hernandez","7"
14591,"Garrett","Johnson","7"
31424,"David","Hall","7"
13716,"Edward","Thomas","7"
4885,"Tammy","Mcgee","7"
13939,"Andrew","Joyce","7"
8968,"Andrew","Mayer","7"
25047,"Michael","Watts","7"
3026,"Tyler","Scott","7"
31484,"Scott","Sanchez","7"
25421,"Diane","Parker","7"
22092,"Deborah","Barrett","7"
20562,"Dawn","Brown","7"
13678,"Christopher","Johnson","7"
27718,"Alexander","Gallagher","7"
14726,"Stacy","Stanley","7"
24903,"Peter","Barton","7"
30466,"William","Chase","7"
6978,"Stacey","Fletcher","7"
30949,"Christine","Mccoy","7"
1936,"Marcia","Maxwell","7"
26836,"Andrew","Phillips","7"
23129,"Jeff","Harris","7"
4502,"Raymond","Payne","7"
24646,"Tina","Mendez","7"
33301,"Tyler","Johnson","7"
22999,"Michael","Ray","7"
10211,"Rick","Pitts","7"
28795,"Dwayne","Reynolds","7"
21722,"Jonathon","Gutierrez","7"
25816,"Brian","Lewis","7"
30464,"Angela","Marshall","7"
10068,"Tiffany","Daniel","7"
9234,"Scott","Miranda","7"
18673,"Eric","Archer","7"
24907,"Jose","Barnett","7"
27129,"Sarah","Decker","7"
6532,"Lynn","Payne","7"
4068,"Jason","Little","7"
14823,"Douglas","Sutton","7"
16978,"Patrick","Rojas","7"
26324,"Stephanie","Kaiser","7"
28180,"Tyler","Spears","7"
28927,"Melanie","Watson","7"
15944,"Sarah","Knox","7"
12443,"Mario","Scott","7"
15725,"Kenneth","Munoz","7"
2875,"Christina","Harding","7"
20423,"Daniel","Howard","7"
25769,"Patrick","Sanchez","7"
350,"Melissa","Mathis","7"
20322,"James","Ferguson","7"
29897,"Eugene","Garcia","7"
15128,"Wendy","Newton","7"
3697,"Cheryl","Cook","7"
3022,"Katherine","Cook","7"
15488,"Thomas","Dennis","7"
23362,"Grant","Powell","7"
3587,"Jeffrey","Wilkinson","7"
228,"Shannon","Sanders","7"
12731,"Katherine","Hoover","7"
12347,"Maria","Cook","7"
10035,"Eric","Roberts","7"
11896,"Taylor","Barker","7"
8724,"Steve","Boyd","7"
948,"Elizabeth","Johnson","7"
6041,"James","Soto","7"
27569,"Gregory","Hicks","7"
13279,"Sarah","Robinson","7"
14830,"Fred","Krause","7"
6377,"Kimberly","Duke","7"
6554,"Brian","Davenport","7"
30748,"Thomas","Beard","7"
826,"Erin","Stanley","7"
22012,"Regina","Lawrence","7"
22005,"Troy","Aguirre","7"
8457,"Daniel","Stanley","7"
12248,"John","Jenkins","7"
28659,"Lauren","Lee","7"
27674,"Lindsey","Ramirez","7"
8886,"Jonathon","Stewart","7"
2175,"Jeffrey","Sanchez","7"
17230,"Tracey","Wilkinson","7"
18446,"Kelly","Bennett","7"
3079,"Donald","Arnold","7"
17462,"James","Zuniga","7"
13047,"Beth","Lambert","7"
16588,"Vanessa","Ward","7"
12006,"Laura","Rogers","7"
14360,"Lisa","Moore","7"
13697,"Charles","Tapia","7"
11469,"Felicia","Mayer","7"
5923,"April","Robles","7"
24011,"Amy","Sanders","7"
5138,"Amy","Gibbs","7"
25892,"William","Bradley","7"
4386,"Alan","Adams","7"
9407,"Tracey","Miller","7"
21603,"David","Clark","7"
31464,"Lucas","Malone","7"
29526,"Joy","Roberts","7"
22990,"Tracy","Walker","7"
13709,"Joseph","Herrera","7"
30927,"Amanda","Arnold","7"
19949,"Sarah","Brewer","7"
27513,"William","Bowen","7"
6631,"Tasha","Gutierrez","7"
19628,"Nancy","Robinson","7"
31776,"Victoria","Nelson","7"
26435,"Tonya","Hickman","7"
7237,"David","King","7"
26126,"Kimberly","Scott","7"
6992,"Alicia","Morris","7"
17351,"Chad","Boyd","7"
20560,"Denise","Cooper","7"
6954,"Eric","Li","7"
32257,"Jason","Robinson","7"
30319,"Deborah","Horne","7"
6086,"Cynthia","Norman","7"
32176,"Toni","Morris","7"
19930,"Patricia","Henson","7"
15613,"Bryan","Roman","7"
8818,"Sarah","Davidson","7"
32438,"Amanda","Hopkins","7"
6329,"Kyle","Frost","7"
26457,"Allison","Williams","7"
4151,"John","Miller","7"
11106,"Charles","Mccoy","7"
17544,"Julie","Hughes","7"
5567,"Kyle","Johnson","7"
29589,"Stephen","Mcknight","7"
31385,"John","Oliver","7"
8123,"Timothy","Wilson","7"
27866,"Edward","Adams","7"
16238,"Michael","Garcia","7"
26618,"Nicole","Pacheco","7"
