"readerid","firstname","lastname","totalfamilymembers"
7663,"Christina","Baker","2"
26936,"Ashlee","Clements","2"
18899,"Carol","Hunter","2"
22880,"Daniel","Harris","2"
2723,"Jennifer","Rose","2"
14457,"Mary","Sanchez","2"
5552,"Joel","Ballard","2"
29094,"Christine","Glass","2"
18094,"Tanya","Mendoza","2"
28630,"Nathan","Sanchez","2"
24071,"Nicole","Gordon","2"
8178,"William","Roberts","2"
26438,"Erin","Sanders","2"
10450,"Luis","Collins","2"
7618,"Melissa","Morales","2"
8746,"Gary","Harrington","2"
18422,"Elizabeth","Hughes","2"
33049,"Dawn","Hickman","2"
15778,"Vanessa","Thompson","2"
10175,"Micheal","Swanson","2"
31685,"Valerie","Howard","2"
2901,"Kyle","Shaffer","2"
2005,"David","Martin","2"
15651,"Frank","Rivera","2"
15240,"Mary","Nichols","2"
25044,"Douglas","Torres","2"
25546,"Brandon","Johnson","2"
20797,"Derek","Thomas","2"
18591,"Joann","Richards","2"
25395,"Emily","Martin","2"
30958,"Shane","Fields","2"
12435,"Shannon","Mendoza","2"
30630,"John","Smith","2"
31838,"Mary","Mcgrath","2"
10492,"Justin","Johnson","2"
32335,"Melissa","Pearson","2"
21606,"Darlene","Petersen","2"
9805,"David","Martinez","2"
13053,"Tyler","Howard","2"
31150,"Denise","Knox","2"
18661,"Michelle","Robertson","2"
32648,"Taylor","Berry","2"
25329,"Kelly","Singleton","2"
2003,"Jenny","Rodgers","2"
21085,"William","Grimes","2"
20838,"Kristi","Romero","2"
8059,"Richard","Kim","2"
9290,"Tricia","Jordan","2"
1046,"Shannon","Reynolds","2"
25772,"Kathryn","Mccoy","2"
14541,"Michael","Davis","2"
24838,"Richard","Hernandez","2"
32572,"Stephanie","Jackson","2"
16528,"Austin","Melton","2"
7656,"Benjamin","Smith","2"
23994,"Reginald","Miller","2"
8494,"Adam","Newman","2"
15662,"Jennifer","Martinez","2"
24856,"Jean","Bond","2"
19591,"Caleb","Grant","2"
24695,"Mason","Klein","2"
32397,"Erika","Anderson","2"
3777,"Jason","Wilson","2"
2422,"Christopher","Nichols","2"
14878,"Brian","Nguyen","2"
9918,"Carla","Bradshaw","2"
10458,"Paul","Williams","2"
12570,"Frank","Taylor","2"
17127,"Heather","West","2"
15048,"Douglas","Doyle","2"
14795,"Rachel","Hill","2"
1617,"Jessica","Rubio","2"
12891,"Kevin","Foster","2"
2831,"Samantha","Lewis","2"
22859,"Carolyn","Reyes","2"
9740,"Jake","Conner","2"
4627,"Kelsey","Norris","2"
32286,"Nancy","Foster","2"
1956,"Samantha","Sanders","2"
9548,"Jessica","Collins","2"
31087,"Ryan","Miranda","2"
30269,"Samantha","Kemp","2"
25223,"James","Foster","2"
17101,"Patrick","Fitzgerald","2"
22456,"Megan","Sanchez","2"
22685,"Rodney","Porter","2"
1984,"Kevin","Ruiz","2"
30942,"Tiffany","Randall","2"
6149,"Mark","Johnson","2"
11920,"Mary","Miller","2"
6846,"Kevin","Sanchez","2"
4685,"Gary","Klein","2"
2168,"Kellie","Lyons","2"
7995,"Kim","Morgan","2"
15736,"Mike","Thornton","2"
31648,"Daniel","Velazquez","2"
24703,"Gary","Calhoun","2"
15566,"Doris","Marshall","2"
30028,"Tyler","Christensen","2"
4285,"Jeffrey","Bishop","2"
24909,"Karen","Ortiz","2"
30602,"Cory","Harmon","2"
22652,"Donna","Miller","2"
6622,"Brenda","Hansen","2"
16393,"Natasha","Schwartz","2"
19152,"Katherine","Page","2"
18321,"Gregory","Schaefer","2"
3601,"Kathryn","Wilson","2"
21735,"Leslie","Herrera","2"
23670,"Pamela","Park","2"
24745,"Christopher","Mills","2"
21140,"Kenneth","White","2"
16248,"Nicholas","Suarez","2"
27099,"Jamie","Morgan","2"
4030,"Samuel","Perez","2"
1190,"Joseph","Wilson","2"
32863,"Leslie","Bridges","2"
13515,"Thomas","Hart","2"
2040,"Oscar","Gutierrez","2"
17028,"Morgan","Odonnell","2"
12995,"Paul","Adams","2"
24973,"Tom","Hawkins","2"
27612,"Brian","Casey","2"
30436,"Daniel","Morgan","2"
14237,"Jason","Curtis","2"
32496,"Valerie","Daniels","2"
9152,"Derek","Raymond","2"
5001,"Alexandra","Schultz","2"
3337,"Michelle","Holmes","2"
11272,"Shane","Lopez","2"
1815,"Patricia","Pennington","2"
32039,"Lisa","Zimmerman","2"
15205,"Christopher","Johnson","2"
4392,"Gina","Valencia","2"
11657,"Victoria","Smith","2"
15292,"Anne","Conner","2"
23178,"Scott","Randolph","2"
16382,"Amy","Williams","2"
25881,"Robert","Soto","2"
27161,"Krystal","Parks","2"
3309,"Danielle","Schroeder","2"
14098,"Michael","Rangel","2"
9756,"Janet","Marquez","2"
15957,"Joshua","Thomas","2"
24725,"Anthony","Cline","2"
1121,"James","Friedman","2"
19574,"Larry","Hughes","2"
30882,"Sierra","Romero","2"
28231,"Jonathan","Torres","2"
618,"Patricia","Garza","2"
29717,"Jessica","Davis","2"
21712,"Christopher","Nelson","2"
1795,"Hannah","Austin","2"
25562,"Christopher","Bryant","2"
17343,"Shawn","Stafford","2"
2614,"Heather","Harding","2"
7183,"Steve","Bean","2"
23605,"Sheila","Wilson","2"
2581,"Keith","Powell","2"
6162,"Shane","Miller","2"
1563,"Deanna","Crosby","2"
18184,"Melissa","Robinson","2"
14666,"Scott","Hicks","2"
11001,"Mindy","Evans","2"
21061,"Leah","Valenzuela","2"
5502,"Kathryn","Gray","2"
32033,"Michael","Small","2"
30904,"Chad","Kelly","2"
22787,"Yvette","Lloyd","2"
33193,"Katherine","Key","2"
6176,"Deborah","Hardy","2"
28561,"Jeremy","Gill","2"
32162,"Angela","King","2"
21838,"Denise","Mitchell","2"
22308,"Timothy","Jones","2"
593,"Nicholas","Ellison","2"
21339,"Julie","Neal","2"
26556,"Dakota","Little","2"
7380,"Susan","Mata","2"
10488,"Sarah","Parker","2"
436,"Kelsey","Smith","2"
22553,"Yesenia","Lawrence","2"
627,"Michael","Vasquez","2"
2824,"William","Griffin","2"
26857,"Brittney","Santiago","2"
23137,"Wyatt","Davis","2"
16705,"Timothy","Prince","2"
19848,"Jo","Richardson","2"
30152,"Audrey","Scott","2"
19970,"Daniel","Johnson","2"
1652,"Kaitlyn","Ho","2"
10297,"Benjamin","Griffith","2"
665,"Victoria","Walters","2"
26035,"Christie","Hall","2"
6501,"Susan","Fox","2"
31873,"Darren","Barrett","2"
32235,"Robert","Johnson","2"
23769,"Richard","Rowland","2"
7532,"Logan","Graves","2"
29533,"Rachel","Fischer","2"
8504,"James","Caldwell","2"
11645,"Tammy","Williams","2"
28251,"Amanda","Black","2"
2591,"Luke","Ross","2"
8145,"Tiffany","Brown","2"
8499,"Gail","Jones","2"
30869,"Jacqueline","Rivers","2"
8037,"Sharon","Singleton","2"
3164,"April","Day","2"
27497,"Ricky","Hogan","2"
22607,"Brittany","Hull","2"
14379,"Julie","Peters","2"
31699,"Ryan","Kim","2"
20296,"Cheryl","Cruz","2"
20537,"Dylan","King","2"
22322,"Vincent","Palmer","2"
31860,"Justin","Miller","2"
19960,"Travis","Taylor","2"
28350,"John","Arroyo","2"
11550,"Kenneth","Chang","2"
23869,"Lisa","Becker","2"
2197,"Kendra","Harmon","2"
23173,"Brandy","Mcdaniel","2"
10744,"Abigail","Smith","2"
16958,"Christian","Vargas","2"
8569,"Douglas","Henry","2"
6157,"Ashley","Brooks","2"
31253,"Erica","Diaz","2"
9637,"April","Hart","2"
13187,"Jeremy","Ward","2"
15833,"Ernest","Olson","2"
6393,"Brianna","Roberts","2"
23524,"Lauren","Guzman","2"
32256,"Patrick","Garza","2"
23825,"Paul","Wright","2"
2174,"Brenda","Richards","2"
6148,"Stacy","Thompson","2"
20942,"Crystal","Martin","2"
4536,"Michael","Dunn","2"
3968,"Joyce","Mccarthy","2"
29487,"Lisa","Turner","2"
8173,"Christopher","Larsen","2"
11765,"Melissa","Odonnell","2"
22343,"Michael","Madden","2"
8321,"Marco","Wagner","2"
18044,"Madison","Boone","2"
17089,"Karen","Johnson","2"
9310,"Erica","Wall","2"
1499,"Linda","Burns","2"
684,"Laurie","Martinez","2"
27832,"Allen","Norton","2"
30177,"Catherine","Rivera","2"
29067,"Eugene","Maxwell","2"
27043,"Ellen","Kelly","2"
17211,"Joseph","Donovan","2"
13587,"Erik","Navarro","2"
21881,"Tyler","Schultz","2"
24451,"Kenneth","King","2"
24558,"Patricia","Collins","2"
28804,"Chad","Robinson","2"
23565,"Tamara","Johnson","2"
4583,"April","Cantrell","2"
2751,"Jose","White","2"
6725,"Susan","Johnson","2"
7587,"Richard","Rhodes","2"
22189,"Andrea","Young","2"
9795,"Laura","Davis","2"
30343,"Michael","Ruiz","2"
18119,"Gina","Young","2"
13452,"Jane","King","2"
22667,"Regina","Harrell","2"
2767,"Robin","Dean","2"
18,"Matthew","Wilson","2"
2671,"James","Cook","2"
21755,"Ryan","Becker","2"
30720,"Timothy","French","2"
4729,"Marie","White","2"
18417,"Deborah","Davis","2"
17493,"Robert","Simpson","2"
3855,"Keith","Sawyer","2"
4198,"John","Brown","2"
3214,"David","Harper","2"
3126,"Kaitlyn","Stephens","2"
29650,"Colleen","Jones","2"
29808,"Adam","Murray","2"
21315,"Michele","Williams","2"
6816,"James","Gray","2"
4298,"Jorge","Koch","2"
513,"Jacqueline","Herrera","2"
9935,"Justin","Baxter","2"
23908,"Fred","Joseph","2"
8870,"William","Moore","2"
1994,"Phillip","Watson","2"
26072,"Clifford","Ramirez","2"
14041,"Ronald","Bennett","2"
28749,"Christopher","Sullivan","2"
13989,"David","Jackson","2"
353,"Meredith","Ryan","2"
32726,"Sandra","Ballard","2"
4703,"James","Duran","2"
14517,"Stanley","Mills","2"
18373,"Patrick","Kirby","2"
13875,"Madison","Lopez","2"
12224,"Christopher","Mendez","2"
32611,"William","Graham","2"
29082,"Jonathan","Vaughn","2"
23433,"Johnathan","Simmons","2"
5167,"Pamela","Cantu","2"
33142,"Wyatt","Barry","2"
14046,"Ryan","Williams","2"
15511,"Steven","Perez","2"
19366,"Danielle","Hunt","2"
19480,"Erin","Campbell","2"
30066,"Jennifer","Baker","2"
9890,"Kimberly","West","2"
15294,"Patricia","Richardson","2"
26499,"Mallory","Adams","2"
18812,"Dalton","Duran","2"
16747,"Kelly","Mclean","2"
12520,"Christopher","Christian","2"
19288,"Terrance","Jackson","2"
8575,"Ashley","Mccoy","2"
25547,"Marisa","Clayton","2"
7366,"Wanda","Clay","2"
16360,"Peter","Russell","2"
19946,"Kristina","Diaz","2"
30558,"Heather","Moore","2"
7660,"Clinton","Smith","2"
24772,"Angel","Lee","2"
10531,"David","Buchanan","2"
33272,"Alan","Jacobson","2"
9864,"Teresa","Lawrence","2"
12830,"Brian","Walsh","2"
1441,"Jacqueline","James","2"
17390,"Diane","Heath","2"
19944,"Adam","Stewart","2"
1673,"Shannon","Williams","2"
18794,"Jay","Johnson","2"
5602,"Shelly","Smith","2"
18963,"John","Baldwin","2"
3152,"Andrea","Bowen","2"
14823,"Douglas","Sutton","2"
31865,"Matthew","Weber","2"
5393,"Chelsea","Kirby","2"
23960,"Larry","Perkins","2"
16206,"Kenneth","Browning","2"
7270,"Anna","Thomas","2"
13946,"Joseph","Oneal","2"
17195,"Melissa","Owens","2"
21973,"Lawrence","Campos","2"
13407,"Michele","Johnson","2"
27574,"Michael","Ferguson","2"
22278,"John","Figueroa","2"
31541,"John","Morris","2"
27221,"Jeffery","Lawson","2"
28026,"Jennifer","Kelley","2"
2953,"Maria","Clarke","2"
10883,"Justin","Caldwell","2"
7353,"Dana","Cook","2"
11536,"Mary","Moss","2"
11567,"Patrick","Bell","2"
24434,"Nicole","Jones","2"
24849,"Michelle","Long","2"
15633,"Cody","Gallegos","2"
33026,"Brittany","Williams","2"
12154,"Scott","Johnson","2"
24282,"Gabriel","Velez","2"
19626,"Sheila","Franklin","2"
9014,"Carla","Moore","2"
11278,"Dustin","Ramos","2"
32054,"Jeffrey","Miller","2"
22017,"Seth","Johnson","2"
27369,"Melissa","Garner","2"
8724,"Steve","Boyd","2"
4481,"Crystal","Evans","2"
19024,"Lisa","King","2"
31193,"Jacob","Robertson","2"
10871,"Donna","Howell","2"
31202,"Steven","Khan","2"
19338,"Ronald","Hanson","2"
2565,"Rachel","Jones","2"
19425,"Ronald","George","2"
15356,"Brianna","Smith","2"
10700,"Jason","Wagner","2"
27385,"James","Ross","2"
27234,"Paul","Smith","2"
33045,"Rachel","Nelson","2"
5872,"Ebony","Thompson","2"
4543,"Eric","Fox","2"
15412,"Jennifer","Allen","2"
29734,"Craig","Gutierrez","2"
28994,"Diana","Thomas","2"
10979,"Taylor","Smith","2"
26799,"Brenda","Stephenson","2"
21421,"Angela","Salinas","2"
14618,"Jacob","Cortez","2"
31446,"Sonya","Ramos","2"
12534,"Kyle","James","2"
14614,"Mark","Bennett","2"
1987,"Rebecca","Garrett","2"
23563,"Amy","Brown","2"
32767,"Stephanie","Phillips","2"
6669,"Katherine","Myers","2"
17997,"Mary","Thomas","2"
17807,"Allen","Ingram","2"
31212,"Kristy","Bowen","2"
22193,"Kara","Young","2"
8954,"John","Chang","2"
8808,"Adam","Hurst","2"
24610,"Scott","Carter","1"
18286,"Kiara","Thompson","1"
20885,"Scott","Dean","1"
6736,"Craig","Reid","1"
21209,"Mason","Armstrong","1"
14291,"Anna","Ward","1"
144,"Matthew","Huff","1"
18043,"Ronald","Wise","1"
23647,"Tiffany","Mitchell","1"
26887,"Jacqueline","Kim","1"
23853,"Kathryn","Mckinney","1"
33126,"Mike","Johnson","1"
19441,"Brandy","Harris","1"
6647,"Barbara","Buckley","1"
15793,"Timothy","Patton","1"
18679,"Debra","Holt","1"
13758,"Teresa","Bell","1"
20068,"James","Hall","1"
20352,"Erin","Rodriguez","1"
28698,"Brenda","Oneill","1"
24527,"Trevor","Blankenship","1"
2690,"Shane","Huang","1"
20517,"Timothy","Pineda","1"
24180,"Michael","Henderson","1"
30811,"Bryan","Martinez","1"
18428,"Shawn","Black","1"
2611,"Luis","Marshall","1"
10148,"Rebecca","Jacobs","1"
20031,"Erika","Taylor","1"
16980,"Carrie","Montgomery","1"
5786,"Judith","Ewing","1"
20621,"Michaela","Ward","1"
27512,"Joshua","Edwards","1"
11079,"Megan","Powers","1"
22302,"Alexander","Jones","1"
9460,"Colleen","Ritter","1"
24843,"Dennis","Johnson","1"
29861,"Erin","Patterson","1"
28243,"Connie","Aguilar","1"
7981,"Michael","Barton","1"
30161,"Timothy","Allen","1"
13913,"Gary","Torres","1"
1137,"Travis","Bright","1"
6084,"Bethany","Richard","1"
3215,"Pamela","Rodriguez","1"
4742,"Michael","Martin","1"
30438,"Louis","Smith","1"
26318,"Jason","Maldonado","1"
441,"Stephen","Rodriguez","1"
17750,"Abigail","Jones","1"
16509,"Nicole","Banks","1"
30222,"Kevin","Keller","1"
21464,"Joseph","Lester","1"
20510,"James","Hays","1"
10313,"Shelley","White","1"
29404,"Joshua","Garcia","1"
3224,"Thomas","Owen","1"
27006,"Steven","Jordan","1"
25089,"Nancy","Thompson","1"
7228,"Aaron","Gill","1"
25672,"Anthony","Burgess","1"
23003,"Robert","Adams","1"
17686,"Derek","Kelly","1"
6474,"Suzanne","Weber","1"
20324,"Christopher","Smith","1"
9734,"Dylan","Rivas","1"
20042,"Tina","Ward","1"
31156,"Samantha","Bradshaw","1"
20865,"Diana","Flores","1"
28653,"Richard","Campos","1"
4772,"Melissa","Herman","1"
28083,"Scott","Powers","1"
12495,"Amy","Cochran","1"
24213,"Erika","Fields","1"
25453,"Erin","Horne","1"
8363,"Trevor","Klein","1"
21072,"Michael","Guerra","1"
24652,"Kyle","Ward","1"
19733,"Carly","Merritt","1"
28700,"Todd","Evans","1"
31305,"Steven","Lopez","1"
14178,"Christina","Bradley","1"
23509,"Nicole","Bailey","1"
2323,"Joshua","Daniel","1"
17143,"Sierra","Riley","1"
12524,"John","Mcneil","1"
17837,"Lisa","Sullivan","1"
2444,"Timothy","Franklin","1"
28209,"Tricia","Ruiz","1"
7493,"Jessica","Mcclure","1"
22918,"Kelly","Guerrero","1"
8142,"Tina","Buck","1"
19269,"Julie","Burns","1"
28415,"Michael","Werner","1"
30489,"Melissa","Tapia","1"
23213,"Randall","Rosales","1"
25617,"David","Ramirez","1"
8993,"Daniel","Buchanan","1"
25533,"Angela","Walker","1"
1472,"Christopher","Hamilton","1"
27825,"Amanda","Wyatt","1"
5044,"Toni","Campbell","1"
4938,"Megan","Nolan","1"
16484,"Ashley","Peterson","1"
23523,"Donald","Smith","1"
8042,"Tammy","Hopkins","1"
27619,"Lori","Stevens","1"
32228,"Victor","Thomas","1"
17808,"Teresa","Garrison","1"
13383,"Austin","Baker","1"
19653,"Leah","Navarro","1"
7199,"Dave","Chavez","1"
6568,"James","Richards","1"
28266,"Tyler","Bailey","1"
20172,"Regina","Martinez","1"
3772,"Edward","Larson","1"
23749,"Holly","Reed","1"
24297,"Angel","Shaw","1"
15067,"Heather","Whitaker","1"
1695,"Kristin","Watkins","1"
30143,"Cheryl","Young","1"
3092,"Jeffrey","Gutierrez","1"
20097,"Jeffery","Myers","1"
22495,"Crystal","Ware","1"
5226,"Kayla","Martinez","1"
16308,"Heather","Nguyen","1"
25255,"Stacy","Fisher","1"
13268,"Amanda","Gibbs","1"
7654,"Shane","Carter","1"
31788,"Kurt","Walker","1"
29364,"Jessica","Armstrong","1"
4087,"Lawrence","Jones","1"
29088,"Nicholas","Wilson","1"
2750,"Cassidy","Huff","1"
6492,"Rachel","Vasquez","1"
16806,"David","Taylor","1"
18437,"Crystal","Wallace","1"
16512,"Caitlin","Freeman","1"
7392,"Beverly","Pena","1"
26868,"James","Nunez","1"
6962,"Rachel","Rodriguez","1"
22629,"Blake","Kramer","1"
16344,"Allen","Aguilar","1"
25490,"Jonathan","Evans","1"
20000,"Connie","Gonzalez","1"
22024,"Daniel","Freeman","1"
31904,"Jennifer","Barber","1"
32720,"Jeremy","Johnson","1"
11523,"Stacy","Hicks","1"
7568,"Paula","Simon","1"
12482,"Melissa","Lee","1"
33063,"Bianca","Avila","1"
29437,"Dawn","Snyder","1"
16684,"David","Smith","1"
19177,"Lisa","Hernandez","1"
12325,"Angela","Christian","1"
7705,"Sharon","Lynch","1"
16984,"Ryan","Ortiz","1"
564,"Michael","Gibson","1"
7675,"Chelsea","Garcia","1"
13440,"April","Robbins","1"
16575,"Jason","Patterson","1"
2084,"Kristy","Clark","1"
15065,"Victor","Petty","1"
27830,"David","Gutierrez","1"
14275,"Jacqueline","Bryant","1"
30657,"Brandon","Mitchell","1"
21628,"Eddie","Horton","1"
21892,"Dominique","Jones","1"
32270,"Robin","Stewart","1"
1220,"Brandon","Walker","1"
19496,"Nicholas","Gibson","1"
5191,"Taylor","Green","1"
24454,"Joshua","Delacruz","1"
28068,"Catherine","White","1"
5273,"Thomas","Miller","1"
20540,"Erica","Herring","1"
25995,"Jason","Hardin","1"
23744,"Brandon","Miller","1"
19505,"Hunter","Ramos","1"
8425,"Aaron","Garner","1"
21550,"Megan","Chang","1"
12123,"Martin","Edwards","1"
25541,"Jeffrey","Ball","1"
11245,"Jennifer","Taylor","1"
2861,"George","Campbell","1"
4348,"Christopher","Bartlett","1"
29686,"John","Carroll","1"
13692,"Stephen","Johnson","1"
25932,"Jonathan","Simpson","1"
16208,"Kimberly","Ellison","1"
17237,"Patricia","White","1"
29263,"Sean","Stewart","1"
23880,"Jessica","Davis","1"
29268,"Christopher","Sullivan","1"
32662,"Jacob","Hale","1"
27573,"Craig","Miller","1"
5336,"Matthew","Allen","1"
12468,"Edward","Kaufman","1"
9804,"Johnny","Reyes","1"
28740,"Kelly","Keller","1"
3838,"Jonathan","Turner","1"
4571,"Edward","Obrien","1"
14912,"Paul","Yang","1"
8103,"Daniel","West","1"
15917,"Robert","Brown","1"
17352,"Douglas","Bennett","1"
14969,"Paul","Davidson","1"
8226,"Taylor","Long","1"
8642,"Derrick","Mason","1"
1035,"Angela","Carrillo","1"
32085,"Patricia","Brown","1"
7440,"Elizabeth","Stewart","1"
9943,"Mary","Chapman","1"
7946,"Rachel","White","1"
12979,"Deanna","Velasquez","1"
