"readerid","firstname","lastname","message","sentdate","isread"
9137,"Travis","Reyes","Your book is due in 1 week! Please return it on time.","2024-12-02",True
11684,"Angela","Olsen","Your book is due in 1 week! Please return it on time.","2024-12-02",False
9249,"Matthew","Jacobson","Your book is due in 1 week! Please return it on time.","2024-12-02",False
6835,"David","Hunter","Your book is due in 1 week! Please return it on time.","2024-12-02",False
22557,"Rachel","Cardenas","Your book is due in 1 week! Please return it on time.","2024-12-02",False
29296,"Kelsey","Palmer","Your book is due in 1 week! Please return it on time.","2024-12-02",False
4750,"Emily","Watkins","Your book is due in 1 week! Please return it on time.","2024-12-02",True
886,"Brandi","Valdez","Your book is due in 1 week! Please return it on time.","2024-12-02",False
31628,"Deanna","Hunt","Your book is due in 1 week! Please return it on time.","2024-12-02",True
4349,"Maria","Cook","Your book is due in 1 week! Please return it on time.","2024-12-02",False
15619,"Courtney","Jones","Your book is due in 1 week! Please return it on time.","2024-12-02",False
33199,"Miranda","Thomas","Your book is due in 1 week! Please return it on time.","2024-12-02",False
12785,"Ashley","Roman","Your book is due in 1 week! Please return it on time.","2024-12-02",False
26810,"David","Gross","Your book is due in 1 week! Please return it on time.","2024-12-02",False
3842,"Rachel","Wright","Your book is due in 1 week! Please return it on time.","2024-12-02",False
6967,"Brian","Andrews","Your book is due in 1 week! Please return it on time.","2024-12-02",False
9731,"Dana","Santana","Your book is due in 1 week! Please return it on time.","2024-12-02",False
29948,"Kyle","Case","Your book is due in 1 week! Please return it on time.","2024-12-02",False
6073,"Carrie","Mitchell","Your book is due in 1 week! Please return it on time.","2024-12-02",False
5903,"Matthew","Smith","Your book is due in 1 week! Please return it on time.","2024-12-02",False
12430,"Bruce","Gibson","Your book is due in 1 week! Please return it on time.","2024-12-02",True
15016,"Caitlin","Hill","Your book is due in 1 week! Please return it on time.","2024-12-02",False
4584,"Sandra","Adams","Your book is due in 1 week! Please return it on time.","2024-12-02",False
20445,"Michelle","Brown","Your book is due in 1 week! Please return it on time.","2024-12-02",True
7423,"Dillon","Richardson","Your book is due in 1 week! Please return it on time.","2024-12-02",True
1720,"Kyle","Roberts","Your book is due in 1 week! Please return it on time.","2024-12-02",True
29850,"Shannon","Miller","Your book is due in 1 week! Please return it on time.","2024-12-02",True
10848,"Russell","Allen","Your book is due in 1 week! Please return it on time.","2024-12-02",False
9162,"Jamie","Navarro","Your book is due in 1 week! Please return it on time.","2024-12-02",True
27761,"Melissa","Davis","Your book is due in 1 week! Please return it on time.","2024-12-02",False
24174,"James","Rubio","Your book is due in 1 week! Please return it on time.","2024-12-02",True
6929,"Virginia","Jackson","Your book is due in 1 week! Please return it on time.","2024-12-02",False
30859,"James","Robinson","Your book is due in 1 week! Please return it on time.","2024-12-02",False
14755,"Frank","Cowan","Your book is due in 1 week! Please return it on time.","2024-12-02",True
16615,"Erin","Walls","Your book is due in 1 week! Please return it on time.","2024-12-02",True
128,"Kathy","Sullivan","Your book is due in 1 week! Please return it on time.","2024-12-02",True
26454,"Rachel","Khan","Your book is due in 1 week! Please return it on time.","2024-12-02",True
1439,"Daniel","Scott","Your book is due in 1 week! Please return it on time.","2024-12-02",True
12225,"Ashley","Reyes","Your book is due in 1 week! Please return it on time.","2024-12-02",True
9795,"Laura","Davis","Your book is due in 1 week! Please return it on time.","2024-12-02",True
24358,"Rachel","Foster","Your book is due in 1 week! Please return it on time.","2024-12-02",True
21099,"Amanda","Lee","Your book is due in 1 week! Please return it on time.","2024-12-02",True
16360,"Peter","Russell","Your book is due in 1 week! Please return it on time.","2024-12-02",True
721,"Joel","Spencer","Your book is due in 1 week! Please return it on time.","2024-12-02",True
8422,"Reginald","Paul","Your book is due in 1 week! Please return it on time.","2024-12-02",False
17683,"Donald","Green","Your book is due in 1 week! Please return it on time.","2024-12-02",True
11346,"Ariel","Guzman","Your book is due in 1 week! Please return it on time.","2024-12-02",True
31721,"Michael","Davis","Your book is due in 1 week! Please return it on time.","2024-12-02",False
33121,"William","Vega","Your book is due in 1 week! Please return it on time.","2024-12-02",False
18271,"Christopher","Franco","Your book is due in 1 week! Please return it on time.","2024-12-02",True
11797,"Michele","Hernandez","Your book is due in 1 week! Please return it on time.","2024-12-02",True
17758,"Courtney","Williamson","Your book is due in 1 week! Please return it on time.","2024-12-02",True
32825,"Antonio","Decker","Your book is due in 1 week! Please return it on time.","2024-12-02",True
12336,"Emily","Townsend","Your book is due in 1 week! Please return it on time.","2024-12-02",False
29618,"Wayne","Glover","Your book is due in 1 week! Please return it on time.","2024-12-02",True
28017,"Pamela","Sullivan","Your book is due in 1 week! Please return it on time.","2024-12-02",False
27622,"James","Weaver","Your book is due in 1 week! Please return it on time.","2024-12-02",True
1322,"William","Morales","Your book is due in 1 week! Please return it on time.","2024-12-02",False
4425,"Anna","Brown","Your book is due in 1 week! Please return it on time.","2024-12-02",False
10947,"Julie","Palmer","Your book is due in 1 week! Please return it on time.","2024-12-02",True
7015,"Kara","Mcclure","Your book is due in 1 week! Please return it on time.","2024-12-02",False
12272,"Jason","Maddox","Your book is due in 1 week! Please return it on time.","2024-12-02",True
28481,"Samuel","Schwartz","Your book is due in 1 week! Please return it on time.","2024-12-02",True
31365,"Alex","Cruz","Your book is due in 1 week! Please return it on time.","2024-12-02",False
5662,"Tyrone","Preston","Your book is due in 1 week! Please return it on time.","2024-12-02",True
23615,"Christopher","Taylor","Your book is due in 1 week! Please return it on time.","2024-12-02",True
20075,"Joseph","Flores","Your book is due in 1 week! Please return it on time.","2024-12-02",False
9835,"Andrea","Steele","Your book is due in 1 week! Please return it on time.","2024-12-02",False
32720,"Jeremy","Johnson","Your book is due in 1 week! Please return it on time.","2024-12-02",False
23651,"Whitney","Burke","Your book is due in 1 week! Please return it on time.","2024-12-02",True
30793,"Eric","Parks","Your book is due in 1 week! Please return it on time.","2024-12-02",True
15779,"Michael","Walker","Your book is due in 1 week! Please return it on time.","2024-12-02",True
12352,"Paul","Jones","Your book is due in 1 week! Please return it on time.","2024-12-02",False
28983,"Bethany","Cantrell","Your book is due in 1 week! Please return it on time.","2024-12-02",False
1672,"Crystal","Anderson","Your book is due in 1 week! Please return it on time.","2024-12-02",False
19476,"Christina","Ford","Your book is due in 1 week! Please return it on time.","2024-12-02",False
234,"Darlene","Daniel","Your book is due in 1 week! Please return it on time.","2024-12-02",False
19218,"Dustin","Walters","Your book is due in 1 week! Please return it on time.","2024-12-02",True
14674,"Patricia","Alvarez","Your book is due in 1 week! Please return it on time.","2024-12-02",False
32200,"Aaron","Williams","Your book is due in 1 week! Please return it on time.","2024-12-02",True
6010,"Kristina","Price","Your book is due in 1 week! Please return it on time.","2024-12-02",False
2202,"Jeffrey","Rodriguez","Your book is due in 1 week! Please return it on time.","2024-12-02",False
24591,"Jose","Padilla","Your book is due in 1 week! Please return it on time.","2024-12-02",False
17429,"Phillip","Mcdonald","Your book is due in 1 week! Please return it on time.","2024-12-02",True
5438,"Alexander","Brady","Your book is due in 1 week! Please return it on time.","2024-12-02",False
1145,"Casey","Hamilton","Your book is due in 1 week! Please return it on time.","2024-12-02",False
2496,"Cody","Flowers","Your book is due in 1 week! Please return it on time.","2024-12-02",True
12054,"Nathan","Garcia","Your book is due in 1 week! Please return it on time.","2024-12-02",True
27292,"Courtney","Perez","Your book is due in 1 week! Please return it on time.","2024-12-02",False
2282,"Sara","Wilson","Your book is due in 1 week! Please return it on time.","2024-12-02",False
5641,"Jacqueline","Jones","Your book is due in 1 week! Please return it on time.","2024-12-02",True
28758,"Keith","Payne","Your book is due in 1 week! Please return it on time.","2024-12-02",True
17111,"Ashley","Diaz","Your book is due in 1 week! Please return it on time.","2024-12-02",False
28757,"Mary","Simpson","Your book is due in 1 week! Please return it on time.","2024-12-02",False
6609,"Jennifer","Smith","Your book is due in 1 week! Please return it on time.","2024-12-02",True
25929,"Edward","Watts","Your book is due in 1 week! Please return it on time.","2024-12-02",True
18068,"Anna","Frazier","Your book is due in 1 week! Please return it on time.","2024-12-02",False
350,"Melissa","Mathis","Your book is due in 1 week! Please return it on time.","2024-12-02",False
4266,"Joseph","Stephens","Your book is due in 1 week! Please return it on time.","2024-12-02",False
157,"Shannon","Ho","Your book is due in 1 week! Please return it on time.","2024-12-02",False
32897,"Jeffrey","Mitchell","Your book is due in 1 week! Please return it on time.","2024-12-02",True
24455,"Johnny","Harris","Your book is due in 1 week! Please return it on time.","2024-12-02",False
18374,"David","Conley","Your book is due in 1 week! Please return it on time.","2024-12-02",False
33015,"Jeremy","Carter","Your book is due in 1 week! Please return it on time.","2024-12-02",False
31814,"Valerie","Miller","Your book is due in 1 week! Please return it on time.","2024-12-02",False
20041,"Kelly","Fisher","Your book is due in 1 week! Please return it on time.","2024-12-02",False
31778,"Wayne","Flores","Your book is due in 1 week! Please return it on time.","2024-12-02",True
14155,"Kyle","Stone","Your book is due in 1 week! Please return it on time.","2024-12-02",False
3359,"Rachel","Jordan","Your book is due in 1 week! Please return it on time.","2024-12-02",True
18647,"Rhonda","Cooper","Your book is due in 1 week! Please return it on time.","2024-12-02",True
16623,"Thomas","Nolan","Your book is due in 1 week! Please return it on time.","2024-12-02",True
33019,"Christopher","Huang","Your book is due in 1 week! Please return it on time.","2024-12-02",False
15759,"Frank","Lopez","Your book is due in 1 week! Please return it on time.","2024-12-02",False
14476,"Joseph","Roman","Your book is due in 1 week! Please return it on time.","2024-12-02",False
15297,"Melissa","Wilson","Your book is due in 1 week! Please return it on time.","2024-12-02",False
17138,"Megan","Burton","Your book is due in 1 week! Please return it on time.","2024-12-02",False
33179,"Courtney","Mack","Your book is due in 1 week! Please return it on time.","2024-12-02",False
32638,"Tina","Cain","Your book is due in 1 week! Please return it on time.","2024-12-02",True
30198,"Melissa","Bradley","Your book is due in 1 week! Please return it on time.","2024-12-02",True
20337,"Lindsay","Shaffer","Your book is due in 1 week! Please return it on time.","2024-12-02",True
8216,"Mark","Alvarado","Your book is due in 1 week! Please return it on time.","2024-12-02",True
31691,"Matthew","Copeland","Your book is due in 1 week! Please return it on time.","2024-12-02",False
7145,"Kent","Johnson","Your book is due in 1 week! Please return it on time.","2024-12-02",True
27195,"Jordan","Blevins","Your book is due in 1 week! Please return it on time.","2024-12-02",False
29029,"Jonathan","Rodriguez","Your book is due in 1 week! Please return it on time.","2024-12-02",False
25206,"Rebecca","Oneill","Your book is due in 1 week! Please return it on time.","2024-12-02",False
23885,"Jeff","Scott","Your book is due in 1 week! Please return it on time.","2024-12-02",False
2032,"Kyle","Barnes","Your book is due in 1 week! Please return it on time.","2024-12-02",True
18515,"Linda","Wells","Your book is due in 1 week! Please return it on time.","2024-12-02",False
11077,"Jack","Gonzalez","Your book is due in 1 week! Please return it on time.","2024-12-02",True
15020,"Courtney","Luna","Your book is due in 1 week! Please return it on time.","2024-12-02",True
23877,"Amanda","Collier","Your book is due in 1 week! Please return it on time.","2024-12-02",False
20524,"Thomas","Neal","Your book is due in 1 week! Please return it on time.","2024-12-02",False
4100,"Cheryl","Sanchez","Your book is due in 1 week! Please return it on time.","2024-12-02",True
9721,"James","Hayden","Your book is due in 1 week! Please return it on time.","2024-12-02",True
18785,"Theresa","Nguyen","Your book is due in 1 week! Please return it on time.","2024-12-02",False
16839,"Laura","Harmon","Your book is due in 1 week! Please return it on time.","2024-12-02",False
1651,"Suzanne","Johnson","Your book is due in 1 week! Please return it on time.","2024-12-02",False
25177,"Robert","Garcia","Your book is due in 1 week! Please return it on time.","2024-12-02",False
20510,"James","Hays","Your book is due in 1 week! Please return it on time.","2024-12-02",True
5254,"Monica","Williams","Your book is due in 1 week! Please return it on time.","2024-12-02",True
4872,"Sandra","Cannon","Your book is due in 1 week! Please return it on time.","2024-12-02",False
25743,"Robert","Carpenter","Your book is due in 1 week! Please return it on time.","2024-12-02",True
1770,"Rebecca","Mccarty","Your book is due in 1 week! Please return it on time.","2024-12-02",True
302,"Darin","Williams","Your book is due in 1 week! Please return it on time.","2024-12-02",True
20948,"Kristen","Allen","Your book is due in 1 week! Please return it on time.","2024-12-02",True
15314,"Jeff","Gomez","Your book is due in 1 week! Please return it on time.","2024-12-02",True
15628,"Jacob","Collins","Your book is due in 1 week! Please return it on time.","2024-12-02",True
33170,"Michael","Hays","Your book is due in 1 week! Please return it on time.","2024-12-02",True
5882,"Jessica","Perry","Your book is due in 1 week! Please return it on time.","2024-12-02",False
16846,"David","Allen","Your book is due in 1 week! Please return it on time.","2024-12-02",False
19142,"Miguel","Salazar","Your book is due in 1 week! Please return it on time.","2024-12-02",True
26566,"Peter","Scott","Your book is due in 1 week! Please return it on time.","2024-12-02",True
11612,"Corey","Morrow","Your book is due in 1 week! Please return it on time.","2024-12-02",False
13078,"Jennifer","Green","Your book is due in 1 week! Please return it on time.","2024-12-02",False
2032,"Kyle","Barnes","Your book is due in 1 week! Please return it on time.","2024-12-02",False
10396,"Stephanie","Love","Your book is due in 1 week! Please return it on time.","2024-12-02",True
8180,"Anna","Gardner","Your book is due in 1 week! Please return it on time.","2024-12-02",False
24351,"Monica","Anderson","Your book is due in 1 week! Please return it on time.","2024-12-02",True
9125,"Jimmy","Weber","Your book is due in 1 week! Please return it on time.","2024-12-02",True
21729,"Chelsea","Cowan","Your book is due in 1 week! Please return it on time.","2024-12-02",True
25759,"Christopher","Brown","Your book is due in 1 week! Please return it on time.","2024-12-02",False
3967,"John","Mills","Your book is due in 1 week! Please return it on time.","2024-12-02",True
4504,"Brian","Bailey","Your book is due in 1 week! Please return it on time.","2024-12-02",True
30832,"Tara","Lozano","Your book is due in 1 week! Please return it on time.","2024-12-02",False
6275,"Jacob","Daugherty","Your book is due in 1 week! Please return it on time.","2024-12-02",False
21934,"Sarah","Larson","Your book is due in 1 week! Please return it on time.","2024-12-02",False
31600,"Matthew","Stanton","Your book is due in 1 week! Please return it on time.","2024-12-02",False
17527,"David","White","Your book is due in 1 week! Please return it on time.","2024-12-02",True
17890,"Bruce","Smith","Your book is due in 1 week! Please return it on time.","2024-12-02",False
22868,"Briana","Schneider","Your book is due in 1 week! Please return it on time.","2024-12-02",True
6440,"Albert","Burns","Your book is due in 1 week! Please return it on time.","2024-12-02",True
15771,"Sara","Jones","Your book is due in 1 week! Please return it on time.","2024-12-02",False
1650,"Sandra","Salazar","Your book is due in 1 week! Please return it on time.","2024-12-02",True
31406,"Sarah","Bennett","Your book is due in 1 week! Please return it on time.","2024-12-02",False
5622,"Charles","Whitehead","Your book is due in 1 week! Please return it on time.","2024-12-02",True
22855,"Crystal","Turner","Your book is due in 1 week! Please return it on time.","2024-12-02",True
31527,"Robert","Bruce","Your book is due in 1 week! Please return it on time.","2024-12-02",True
20044,"Jennifer","Valdez","Your book is due in 1 week! Please return it on time.","2024-12-02",False
16988,"David","Potter","Your book is due in 1 week! Please return it on time.","2024-12-02",False
19106,"Connor","Rodriguez","Your book is due in 1 week! Please return it on time.","2024-12-02",False
7244,"Phillip","Wilson","Your book is due in 1 week! Please return it on time.","2024-12-02",False
17613,"Annette","Smith","Your book is due in 1 week! Please return it on time.","2024-12-02",False
27159,"Shelia","Fisher","Your book is due in 1 week! Please return it on time.","2024-12-02",False
13695,"Kimberly","Fitzpatrick","Your book is due in 1 week! Please return it on time.","2024-12-02",False
2075,"Julian","Daniels","Your book is due in 1 week! Please return it on time.","2024-12-02",True
8067,"David","Dixon","Your book is due in 1 week! Please return it on time.","2024-12-02",False
27554,"Jesus","Bailey","Your book is due in 1 week! Please return it on time.","2024-12-02",False
9252,"Bradley","Colon","Your book is due in 1 week! Please return it on time.","2024-12-02",True
26485,"Daniel","Robinson","Your book is due in 1 week! Please return it on time.","2024-12-02",True
29937,"Emily","Grant","Your book is due in 1 week! Please return it on time.","2024-12-02",True
16649,"Courtney","Coleman","Your book is due in 1 week! Please return it on time.","2024-12-02",False
28866,"Andrew","Howell","Your book is due in 1 week! Please return it on time.","2024-12-02",True
8196,"Shelly","Cross","Your book is due in 1 week! Please return it on time.","2024-12-02",False
20419,"Brandi","Foley","Your book is due in 1 week! Please return it on time.","2024-12-02",False
8278,"Roberta","Dudley","Your book is due in 1 week! Please return it on time.","2024-12-02",False
22097,"John","Khan","Your book is due in 1 week! Please return it on time.","2024-12-02",True
31491,"Dawn","Byrd","Your book is due in 1 week! Please return it on time.","2024-12-02",False
13540,"Roger","Palmer","Your book is due in 1 week! Please return it on time.","2024-12-02",False
30434,"Terry","Lopez","Your book is due in 1 week! Please return it on time.","2024-12-02",True
27357,"Richard","Jimenez","Your book is due in 1 week! Please return it on time.","2024-12-02",True
4614,"James","Bell","Your book is due in 1 week! Please return it on time.","2024-12-02",False
6307,"Michaela","Hunt","Your book is due in 1 week! Please return it on time.","2024-12-02",False
29896,"Felicia","Campbell","Your book is due in 1 week! Please return it on time.","2024-12-02",False
32928,"Brian","Flores","Your book is due in 1 week! Please return it on time.","2024-12-02",False
32936,"Larry","Diaz","Your book is due in 1 week! Please return it on time.","2024-12-02",True
7017,"Eric","Patterson","Your book is due in 1 week! Please return it on time.","2024-12-02",True
3037,"Sarah","Miranda","Your book is due in 1 week! Please return it on time.","2024-12-02",False
27596,"David","Burch","Your book is due in 1 week! Please return it on time.","2024-12-02",True
13013,"Miranda","Carter","Your book is due in 1 week! Please return it on time.","2024-12-02",True
30946,"Ryan","Ramirez","Your book is due in 1 week! Please return it on time.","2024-12-02",False
16787,"Michael","Taylor","Your book is due in 1 week! Please return it on time.","2024-12-02",True
19684,"Dustin","Carter","Your book is due in 1 week! Please return it on time.","2024-12-02",False
9943,"Mary","Chapman","Your book is due in 1 week! Please return it on time.","2024-12-02",False
21500,"Amber","Price","Your book is due in 1 week! Please return it on time.","2024-12-02",False
23960,"Larry","Perkins","Your book is due in 1 week! Please return it on time.","2024-12-02",False
13195,"Ashley","Rojas","Your book is due in 1 week! Please return it on time.","2024-12-02",True
15835,"Erik","Jensen","Your book is due in 1 week! Please return it on time.","2024-12-02",False
30069,"Christopher","Norris","Your book is due in 1 week! Please return it on time.","2024-12-02",False
20243,"Kathy","Kline","Your book is due in 1 week! Please return it on time.","2024-12-02",False
20237,"Julie","Reeves","Your book is due in 1 week! Please return it on time.","2024-12-02",False
2393,"Bonnie","Gregory","Your book is due in 1 week! Please return it on time.","2024-12-02",False
6250,"Chris","Francis","Your book is due in 1 week! Please return it on time.","2024-12-02",True
8843,"Virginia","Hicks","Your book is due in 1 week! Please return it on time.","2024-12-02",False
32296,"Rebecca","Day","Your book is due in 1 week! Please return it on time.","2024-12-02",True
12465,"Justin","Walls","Your book is due in 1 week! Please return it on time.","2024-12-02",True
11571,"Christina","Smith","Your book is due in 1 week! Please return it on time.","2024-12-02",True
1515,"Miranda","Delgado","Your book is due in 1 week! Please return it on time.","2024-12-02",False
4693,"Jody","Burgess","Your book is due in 1 week! Please return it on time.","2024-12-02",True
444,"Matthew","Guerrero","Your book is due in 1 week! Please return it on time.","2024-12-02",True
22544,"Gregory","Arroyo","Your book is due in 1 week! Please return it on time.","2024-12-02",True
30881,"David","Robinson","Your book is due in 1 week! Please return it on time.","2024-12-02",True
13962,"Lauren","Smith","Your book is due in 1 week! Please return it on time.","2024-12-02",False
27608,"Jennifer","Hall","Your book is due in 1 week! Please return it on time.","2024-12-02",False
13961,"Craig","Lara","Your book is due in 1 week! Please return it on time.","2024-12-02",True
5462,"Curtis","Reed","Your book is due in 1 week! Please return it on time.","2024-12-02",False
6784,"Joshua","Austin","Your book is due in 1 week! Please return it on time.","2024-12-02",False
33329,"Nicole","Lindsey","Your book is due in 1 week! Please return it on time.","2024-12-02",True
25987,"Daniel","Gray","Your book is due in 1 week! Please return it on time.","2024-12-02",False
18405,"Vickie","Martin","Your book is due in 1 week! Please return it on time.","2024-12-02",False
11818,"Tyler","Fleming","Your book is due in 1 week! Please return it on time.","2024-12-02",False
3639,"Mary","Sosa","Your book is due in 1 week! Please return it on time.","2024-12-02",False
25575,"Michael","Washington","Your book is due in 1 week! Please return it on time.","2024-12-02",True
16109,"Karen","Williams","Your book is due in 1 week! Please return it on time.","2024-12-02",True
12136,"Michael","Foster","Your book is due in 1 week! Please return it on time.","2024-12-02",False
8029,"Lindsay","Davies","Your book is due in 1 week! Please return it on time.","2024-12-02",False
17395,"Jeffrey","Price","Your book is due in 1 week! Please return it on time.","2024-12-02",True
13905,"Christopher","Wilson","Your book is due in 1 week! Please return it on time.","2024-12-02",True
12042,"Michelle","Byrd","Your book is due in 1 week! Please return it on time.","2024-12-02",True
14685,"George","Brown","Your book is due in 1 week! Please return it on time.","2024-12-02",False
24821,"Robin","Moreno","Your book is due in 1 week! Please return it on time.","2024-12-02",False
11985,"Donna","Mcdonald","Your book is due in 1 week! Please return it on time.","2024-12-02",False
21749,"Amy","Miller","Your book is due in 1 week! Please return it on time.","2024-12-02",True
27433,"Bonnie","Davis","Your book is due in 1 week! Please return it on time.","2024-12-02",False
22034,"Heather","Murphy","Your book is due in 1 week! Please return it on time.","2024-12-02",True
15369,"Penny","Russell","Your book is due in 1 week! Please return it on time.","2024-12-02",False
32613,"Julie","Olsen","Your book is due in 1 week! Please return it on time.","2024-12-02",True
10891,"Denise","Patrick","Your book is due in 1 week! Please return it on time.","2024-12-02",True
27132,"Alicia","Smith","Your book is due in 1 week! Please return it on time.","2024-12-02",False
31987,"Nancy","Novak","Your book is due in 1 week! Please return it on time.","2024-12-02",True
12441,"Lori","Ray","Your book is due in 1 week! Please return it on time.","2024-12-02",True
23156,"Timothy","Martinez","Your book is due in 1 week! Please return it on time.","2024-12-02",True
21268,"Dana","Hernandez","Your book is due in 1 week! Please return it on time.","2024-12-02",False
17885,"Jose","Doyle","Your book is due in 1 week! Please return it on time.","2024-12-02",True
32302,"Sarah","Stewart","Your book is due in 1 week! Please return it on time.","2024-12-02",False
16021,"Crystal","Stokes","Your book is due in 1 week! Please return it on time.","2024-12-02",False
15197,"David","Moore","Your book is due in 1 week! Please return it on time.","2024-12-02",True
6893,"Heather","Castaneda","Your book is due in 1 week! Please return it on time.","2024-12-02",True
20223,"David","Foley","Your book is due in 1 week! Please return it on time.","2024-12-02",False
6323,"Victoria","Robinson","Your book is due in 1 week! Please return it on time.","2024-12-02",False
12646,"Anthony","Lopez","Your book is due in 1 week! Please return it on time.","2024-12-02",True
10048,"Jennifer","Mcbride","Your book is due in 1 week! Please return it on time.","2024-12-02",True
31758,"Jason","Garcia","Your book is due in 1 week! Please return it on time.","2024-12-02",False
2021,"Steven","Summers","Your book is due in 1 week! Please return it on time.","2024-12-02",True
22618,"Dustin","Hopkins","Your book is due in 1 week! Please return it on time.","2024-12-02",False
31591,"Kelsey","Miller","Your book is due in 1 week! Please return it on time.","2024-12-02",False
388,"Richard","Lopez","Your book is due in 1 week! Please return it on time.","2024-12-02",True
19952,"Carol","Schmidt","Your book is due in 1 week! Please return it on time.","2024-12-02",True
20532,"Glen","Davis","Your book is due in 1 week! Please return it on time.","2024-12-02",True
10576,"Michael","Jones","Your book is due in 1 week! Please return it on time.","2024-12-02",True
6259,"Sheila","Sellers","Your book is due in 1 week! Please return it on time.","2024-12-02",True
1231,"Gary","Rivera","Your book is due in 1 week! Please return it on time.","2024-12-02",True
18023,"Autumn","Foster","Your book is due in 1 week! Please return it on time.","2024-12-02",False
12036,"James","Hernandez","Your book is due in 1 week! Please return it on time.","2024-12-02",False
15190,"Stefanie","Gutierrez","Your book is due in 1 week! Please return it on time.","2024-12-02",True
1839,"Lynn","Banks","Your book is due in 1 week! Please return it on time.","2024-12-02",True
27391,"Melissa","Taylor","Your book is due in 1 week! Please return it on time.","2024-12-02",True
32012,"Tracey","Rivera","Your book is due in 1 week! Please return it on time.","2024-12-02",True
28319,"Gina","Evans","Your book is due in 1 week! Please return it on time.","2024-12-02",False
27864,"Patricia","Mendez","Your book is due in 1 week! Please return it on time.","2024-12-02",False
28888,"Kim","Johnson","Your book is due in 1 week! Please return it on time.","2024-12-02",True
22482,"Eric","Welch","Your book is due in 1 week! Please return it on time.","2024-12-02",False
24444,"Timothy","Sanders","Your book is due in 1 week! Please return it on time.","2024-12-02",False
17048,"Richard","Murphy","Your book is due in 1 week! Please return it on time.","2024-12-02",False
21592,"James","Bass","Your book is due in 1 week! Please return it on time.","2024-12-02",True
31850,"Wayne","Anderson","Your book is due in 1 week! Please return it on time.","2024-12-02",False
16063,"Jesse","Obrien","Your book is due in 1 week! Please return it on time.","2024-12-02",False
4872,"Sandra","Cannon","Your book is due in 1 week! Please return it on time.","2024-12-02",True
26954,"Danielle","Johnson","Your book is due in 1 week! Please return it on time.","2024-12-02",False
29271,"Jenny","Brewer","Your book is due in 1 week! Please return it on time.","2024-12-02",True
23229,"Emily","Walter","Your book is due in 1 week! Please return it on time.","2024-12-02",True
18643,"Edward","Aguirre","Your book is due in 1 week! Please return it on time.","2024-12-02",True
6502,"Anthony","Ferguson","Your book is due in 1 week! Please return it on time.","2024-12-02",True
23023,"Nicholas","Mason","Your book is due in 1 week! Please return it on time.","2024-12-02",False
